,name,id,calories,sugars,fat,sodium,saturated fat
0,Gator Salsa,26800,14,2.0,0.1,0.0027,0.0
1,Green Chile Pepper and Tomato Chicken Dip,26804,101,1.6,6.8,0.39089999999999997,3.7
2,Green Chili and Corn Dip,26805,65,0.6,4.7,0.1487,3.0
3,Green Salsa,26806,15,1.2,0.2,0.0838,0.0
4,Grilled Tomato Salsa,26807,20,1.7,1.0,0.0037,0.1
5,Hot Artichoke and Spinach Dip II,26819,134,0.2,11.7,0.31510000000000005,5.6
6,Hot Clam Dip IV,26822,86,0.6,4.5,0.1207,2.5
7,Hot Corn Dip,26823,29,0.3,1.7,0.0775,1.0
8,Hot Crab and Jalapeno Dip,26824,82,0.3,7.0,0.194,1.2
9,Hot Crab Rounds,26825,220,3.5,5.9,0.5602,2.2
10,Hot Mexican Dip,26827,110,2.7,7.5,0.49710000000000004,4.4
11,Hot Swiss and Spinach Dip with Yogurt,26831,108,2.9,7.3,0.3792,3.1
12,Jalapeno Poppers I,26835,187,1.5,13.8,0.2354,7.1
13,Jalapeno Poppers II,26836,460,2.1,38.1,0.5244,13.4
14,John's Crabby Caps,26838,277,1.7,17.5,0.6632,5.7
15,Lahmajoon,26841,270,2.6,13.1,0.3935,4.8
16,Lobster Dip,26846,86,0.2,7.9,0.1011,4.9
17,Mango Bruschetta,26849,315,7.2,6.8,0.724,3.8
18,Marinated Red Peppers,26850,148,11.2,11.1,0.39139999999999997,1.7
19,Mexican Bean Dip,26853,223,3.3,13.8,0.7931,8.2
20,Microwave Bread and Butter Pickles,26857,37,8.7,0.0,0.0974,0.0
21,Mom's Cheese Ball,26864,103,0.2,10.0,0.1832,4.6
22,Mom's Sandwich Spread,26867,191,1.0,19.0,0.37189999999999995,5.1
23,Mom's Sausage Roll,26868,580,0.6,49.5,1.2614,21.1
24,Mozzarella and Tomato Appetizer Tray,26869,246,1.5,19.3,0.7207,7.2
25,Muffaletta Pizza,26871,511,4.4,29.1,1.6313,9.4
26,Onion Meat Relish,26877,48,2.8,2.9,0.2402,1.8
27,Artichoke-Chile Dip,26880,105,0.3,8.3,0.2382,2.5
28,Bandito Buffalo Wings,26881,237,1.0,15.7,0.4967,4.4
29,Chile 'n' Cheese Spirals,26882,69,0.2,4.1,0.11270000000000001,2.2
30,Chutney Salsa,26883,36,0.4,0.9,0.1362,0.0
31,Four-Cheese Mexican Tortilla Appetizers,26884,164,1.5,7.8,0.42310000000000003,3.8
32,Mexicali Corn Salsa,26885,15,0.4,0.1,0.0818,0.0
33,Ortega® Zesty Chicken Wings,26886,180,1.2,12.1,0.2011,3.4
34,Roasted Red Pepper and White Bean Dip,26887,32,0.5,0.9,0.09079999999999999,0.1
35,Salsa Bean Dip,26888,115,0.0,4.1,0.36669999999999997,2.3
36,Stuffed Chiles in Ranch Sauce,26889,399,5.2,25.4,1.4011,10.9
37,Parmesan Puffs,26890,650,9.8,43.2,1.4005999999999998,13.3
38,Pate,26893,96,0.1,8.9,0.2094,4.4
39,Pear and Gorgonzola Cheese Pizza,26897,287,5.3,12.9,0.5854,4.4
40,Pear Spread for Fruit Bread,26898,34,6.0,0.1,0.0009,0.0
