,name,id,calories,fat,saturated fat,sodium,sugars
0,White Barbeque Sauce,30475,68,7.7,4.9,0.6357999999999999,0.0
1,Good Burger,30480,383,20.8,8.2,0.4214,20.5
2,Accidental Grilled Chicken Salad,30485,426,35.6,5.6,0.4051,4.0
3,BBQ Chuck Roast,30490,714,42.7,17.0,3.1909,18.8
4,Nana's Barbeque Sauce,30491,56,0.1,0.0,0.2576,13.6
5,Patsy's Best Barbeque Beef,30493,381,23.5,9.3,1.7009,9.7
6,Grilled Tequila Portobello,30497,314,25.3,8.6,0.0063,1.4
7,Beef Marinade II,30499,53,2.3,0.3,0.3023,0.4
