,name,id,calories,sugars,fat,saturated fat,sodium
0,Potato Candy,9400,312,13.8,23.6,5.7,0.22440000000000002
1,Salmon Patties I,9401,224,1.1,10.4,2.1,0.5227999999999999
2,Old-Fashioned Rice Pudding I,9402,294,32.9,7.0,3.8,0.1052
3,Rice Pudding,9403,212,24.5,5.7,3.1,0.192
4,Georgia Spiced Peaches,9404,140,35.7,0.0,0.0,0.0035
5,Baked Rice Pudding,9405,155,14.0,2.4,1.0,0.145
6,Maple Sponge Candy,9406,153,29.0,0.0,0.0,0.3387
7,Quacker Jack,9407,172,12.1,8.1,3.4,0.1128
8,Spicy Pumpkin Fudge,9408,211,26.0,10.1,5.9,0.0632
9,Chocolate Cookie Mix in a Jar,9409,86,10.0,2.6,1.0,0.0635
10,Chocolate Fudge,9410,129,26.3,2.3,0.8,0.023600000000000003
11,Salmon Patties II,9411,351,0.1,24.8,3.9,0.4701
12,Peanut Butter Fudge II,9412,123,17.1,4.7,3.5,0.041
13,Jalapeno Pepper Jelly,9413,433,109.6,0.2,0.0,0.3142
14,Piccalilli,9414,27,3.8,0.1,0.0,2.2283000000000004
15,Rum Balls I,9415,102,4.6,3.8,0.8,0.0471
16,Pumpkin Nog,9416,147,13.4,6.5,4.0,0.2647
17,Paper-Wrapped Apple Pie II,9417,540,48.3,25.8,12.3,0.2666
18,Bread Pudding I,9418,337,30.3,12.3,3.6,0.515
19,Cranberry Fudge,9419,229,7.7,8.8,5.5,0.011
20,Old-Fashioned Chocolate Fudge,9420,35,0.0,0.9,0.6,0.0018
21,Brown Sugar Sauce,9421,86,13.4,2.9,1.8,0.09709999999999999
22,Southern Boiled Custard,9422,216,30.8,7.1,3.2,0.09259999999999999
23,Hot Spiced Cider,9423,86,18.8,0.0,0.0,0.0515
24,Shortbread Wheels,9424,114,4.1,7.0,4.4,0.047200000000000006
25,Blue Ribbon Whipping Cream Pound Cake,9425,396,31.7,19.4,11.4,0.1188
26,Panettone Loaves,9426,153,4.0,5.8,3.3,0.0157
27,Walnut Poteca,9427,617,28.9,35.0,7.5,0.1169
28,Old-Fashioned Hot Fudge Sauce,9428,175,26.6,7.5,4.7,0.0935
29,Grandmother's Boiled Raisin Cake,9429,296,34.1,8.6,5.2,0.1703
30,Jean's Fudge,9430,307,48.5,11.3,5.1,0.045399999999999996
31,Instant Russian Tea,9431,101,24.5,0.0,0.0,0.0068
32,Pumpkin Fudge,9432,256,44.8,6.3,3.8,0.0709
33,Christmas Tree Cookies,9433,59,3.0,3.2,2.0,0.0441
34,Easy Microwave Pralines,9434,239,25.6,14.4,4.2,0.0182
35,Almond Crunch,9435,317,28.7,21.0,11.3,0.0841
36,Million Dollar Fudge,9436,206,29.2,8.9,3.8,0.0177
37,Dill Dip,9437,88,0.4,9.3,2.3,0.07640000000000001
38,Eggnog Cookies I,9438,98,7.3,4.5,2.7,0.0433
39,"Cheesy, Creamy Company Potatoes",9439,346,1.7,27.3,15.0,0.9485
40,Sugar Cookies with Buttercream Frosting,9440,112,10.8,5.0,2.4,0.068
41,Cream Cheese Mints,9441,112,22.0,2.6,1.6,0.0211
42,Chocolate Orange Truffles,9442,159,10.3,12.4,6.8,0.0021000000000000003
43,Dawn's Candied Walnuts,9443,238,13.5,18.6,1.8,0.039299999999999995
44,Grandma Strait's Fudge,9444,672,108.5,23.6,12.1,0.109
45,Festive Holiday Bark,9445,77,7.9,4.0,2.4,0.043
46,Children's Gingerbread House,9446,736,135.8,10.3,6.1,0.1716
47,Hasty Pudding,9447,226,30.6,7.2,2.1,0.054700000000000006
48,Homemade Creme Liqueur,9448,417,44.2,17.6,10.9,0.0862
49,Homemade Buttercrunch Candy,9449,244,17.9,18.0,3.7,0.13240000000000002
50,Glazed Nuts,9450,218,7.6,18.5,1.8,0.0065
51,Fruitcake Cookies,9451,237,21.4,11.6,2.5,0.034
