,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Mini Chip Sugar Cookies,10800,"These are good and a nice change from chocolate chip cookies. (To sour milk for using in place of buttermilk, use 1 1/2 teaspoons vinegar plus milk to equal 1/2 cup.) ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1249.jpg,18,212.7,7,3.8,34.4,1.2,22.5,8.2,4.9,0.019600000000000003,0.0298,0.0012,0.0214,0.0912,0.1869,"⅓ cup butter, softened #½ cup packed brown sugar #¾ cup white sugar #1 egg #1 teaspoon vanilla extract #2 cups all-purpose flour #1 teaspoon baking soda #½ teaspoon baking powder #½ teaspoon salt #½ cup buttermilk #1 ½ cups mini semi-sweet chocolate chips "
1,Melt in your Mouth Cookies II,10802,"By making your own brown sugar, these cookies will be the chewiest and moistest ones you'll ever make. ",0,12,426.8,7,3.5,59.2,2.1,42.3,21.5,13.1,0.0487,0.0249,0.002,0.045200000000000004,0.1819,0.3983,.817 cup butter #1 ½ cups white sugar #2 tablespoons molasses #1 egg #1 tablespoon vanilla extract #1 teaspoon salt #1 teaspoon baking soda #1 ¾ cups all-purpose flour #2 cups semisweet chocolate chips 
2,Honey-butter Biscuit Cookies,10803,"Mmmmm these cookies are really good; they have a hint of vanilla in them, and they are just, well, they're just good!! Try them!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3588373.jpg,30,195.6,13,3.9,32.0,0.6,16.0,6.7,4.0,0.0287,0.0255,0.0011,0.0055,0.0349,0.0873,1 cup unsalted butter #1 cup white sugar #1 cup honey #1 teaspoon vanilla extract #2 eggs #⅝ teaspoon salt #2 teaspoons baking powder #5 cups all-purpose flour 
3,Chocolate Peanut Butter Squares,10804,An easy homemade version of the famous peanut butter cup candies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F572139.jpg,18,482.2,314,4.7,43.4,2.5,36.0,33.3,14.5,0.0407,0.0218,0.0011,0.0574,0.2346,0.2842,1 cup butter #4 cups confectioners' sugar #2 cups peanut butter #1 ½ cups graham cracker crumbs #½ cup butter #1 cup semisweet chocolate chips 
4,Brownies I,10805,"When I make this for friends, I add nuts. When I make this for myself, I add raisins. I've tried M&M candies, toffee bits, and candy confetti -- it's very flexible. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F178592.jpg,12,392.9,12,3.6,48.4,3.0,33.7,22.5,11.8,0.0891,0.0557,0.0035,0.0587,0.1778,0.3341,6 (1 ounce) squares unsweetened chocolate #⅔ cup butter #2 cups white sugar #4 eggs #1 ¼ cups all-purpose flour #1 teaspoon salt #1 teaspoon baking powder #½ cup chopped walnuts 
5,Grammie's Sweet Milk Cookies,10806,My grandmother made these in her woodstove oven and I have always guessed at the cooking temperature and cooking times. As is usual with lots of older recipes no exact amount of flour was listed either. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1082670.jpg,48,76.6,23,4.3,12.2,0.1,8.2,2.7,0.8,0.0055,0.015,0.0003,0.0025,0.0455,0.046,1 egg #1 cup white sugar #½ cup shortening #1 teaspoon baking soda #2 teaspoons cream of tartar #¼ teaspoon ground nutmeg #¼ teaspoon salt #2 cups all-purpose flour #⅓ cup granulated sugar for decoration #¾ cup sweetened condensed milk 
6,Sour Cream Pockets,10807,"A simple 3 ingredient rolled dough, with pastry filling. They are my most popular cookies to make. Everyone young and old loves them. Sprinkle with powered sugar. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6181771.jpg,24,114.6,8,4.2,12.7,0.5,0.0,6.9,4.3,0.0174,0.0094,0.0004,0.0029,0.0281,0.0545,1 ½ cups all-purpose flour #½ cup sour cream #¾ cup butter #1 (21 ounce) can apple pie filling 
7,Cereal Treats I,10808,"This version has no chocolate topping, but it would be easy to melt chocolate chips and spread them over the top. We have a nut allergy in our family and I omit the peanut butter and substitute 1/2 cup of butterscotch chips melted with the margarine instead. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F995035.jpg,12,208,20,4.6,29.9,1.7,15.8,8.9,3.1,0.0076,0.0419,0.0033,0.0294,0.1026,0.1751,3 tablespoons butter #6 cups miniature marshmallows #½ cup peanut butter #5 cups toasted oat cereal 
8,Peanut Butter Thumbprint Cookies II,10809,"These were a favorite cookie in my family when I was growing up, and we loved to help Mom make the ""thumbprints"" in each cookie, where the sweet raisin filling was placed before baking. ",0,18,315.2,1,3.0,49.1,2.0,28.4,11.6,4.6,0.0344,0.0299,0.0016,0.0324,0.22119999999999998,0.1687,½ cup butter #¾ cup peanut butter #¾ cup white sugar #¾ cup packed brown sugar #2 eggs #2 tablespoons milk #2 ½ cups all-purpose flour #1 cup rolled oats #1 teaspoon baking soda #1 ½ cups raisins #¼ cup white sugar #¾ cup water #2 tablespoons lemon juice #2 tablespoons cornstarch 
9,Conga Squares,10810,"My mother, Elaine, made these for us regularly for us in the 60's for after school treats. They are about 20 minutes from start to finish! The fun thing with this recipe you can add coconut, nuts, or butterscotch chips. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F135472.jpg,36,178.4,13,3.8,23.7,1.0,17.1,9.3,2.5,0.0103,0.0264,0.0009,0.0189,0.0762,0.1217,2 cups packed brown sugar #⅔ cup vegetable oil #2 eggs #2 teaspoons vanilla extract #2 cups all-purpose flour #1 teaspoon baking powder #1 teaspoon baking soda #2 tablespoons water #1 teaspoon salt #2 cups semisweet chocolate chips #1 cup chopped walnuts 
