,name,id,calories,sugars,fat,saturated fat,sodium
0,Strawberry Butter,33618,115,3.3,11.5,7.3,0.08170000000000001
1,Breakfast Kolaches,33620,176,3.8,13.5,6.6,0.5438
2,Andi's Own Delightful Brunch Burritos,33622,587,3.2,30.8,14.5,1.3302
3,Cake Doughnuts,33625,257,13.4,14.7,3.6,0.1671
4,Cretons,33629,101,1.5,6.0,2.3,0.0445
5,Great-Grandmother Steinbeck's Johnnycake (Cornbread),33641,383,15.7,16.4,2.6,1.0527
6,Pear and Chocolate Sponge,33645,744,55.5,48.6,26.8,0.5802
7,Chocolate Ganache,33647,142,7.1,10.8,6.7,0.0065
8,Banana Berry Smoothie II,33664,280,36.7,5.5,3.3,0.11220000000000001
9,Broccoli Rabe and Sausage,33666,299,0.5,27.9,7.8,1.2954
10,Danish Meatballs with Dill Sauce,33676,449,1.1,37.6,20.9,0.7948
11,Pakistani Meatballs with Gravy (Koftay),33677,607,10.4,32.6,11.9,0.2346
