,name,id,calories,sugars,fat,saturated fat,sodium
0,Wacky Cake V,8100,197,11.2,8.6,1.2,0.2707
1,Mandarin Orange Cake I,8101,337,26.6,19.9,5.1,0.2872
2,Sock It to Me Cake IV,8102,381,32.2,20.9,5.0,0.2595
3,Fudgy Cream Cheese Tunnel Cake,8103,632,42.8,42.7,18.5,0.49160000000000004
4,Daniel's Favorite Cheesecake,8104,302,20.9,18.6,9.5,0.2346
5,"Fruit Cocktail Cake with Sweet, Buttery Sauce",8105,411,51.6,13.5,8.2,0.30310000000000004
6,Easy Rich Chocolate Cake,8106,416,44.0,21.4,9.8,0.2973
7,Orange Oatmeal Muffins,8107,247,23.7,9.1,5.2,0.3618
8,Sweet Potato Cake,8108,356,40.3,8.9,5.3,0.372
9,Shoo Fly Cake,8109,278,24.5,9.4,1.2,0.3359
10,Hardly Hard Sauce,8110,187,9.9,15.4,9.7,0.1092
11,Cameo Cake,8111,1100,117.8,53.4,29.1,0.5126000000000001
12,Maple Icing,8112,256,39.3,10.4,6.5,0.0829
13,Japanese Fruit Cake II,8113,211,24.1,8.2,4.5,0.086
14,Chocolate Mayonnaise Cake II,8115,222,13.6,12.0,1.9,0.2009
15,Oat Bran Muffins,8116,182,11.2,6.4,1.0,0.4033
16,Texas Sheet Cake III,8117,463,47.9,24.4,10.6,0.1616
17,Cranberry Cake,8118,383,40.8,15.9,8.9,0.366
18,Easy Chocolate Banana Cake,8119,234,19.0,12.7,4.0,0.21180000000000002
19,"Pralines, Coffee and Cream Cake",8120,571,42.4,36.4,15.7,0.4063
20,Peanut Butter and Banana Frosting,8121,528,50.4,32.7,7.1,0.2297
21,Caterpillar Cake,8122,373,43.2,13.7,4.1,0.3553
22,Banana Raisin Cake,8123,441,37.6,19.9,2.7,0.2733
23,Coconut Frosting and Filling,8124,313,41.1,15.3,11.5,0.0513
24,War Cake,8125,220,16.9,8.3,1.4,0.2241
25,Pumpkin Roll Cake,8126,228,20.5,12.4,4.9,0.19319999999999998
26,New Duchess Spice Cake with Maple Buttercream Frosting,8127,559,64.3,25.2,9.0,0.3423
