,name,id,calories,sugars,fat,saturated fat,sodium
0,Peanut Butter Cookies IX,26200,96,7.6,5.2,2.3,0.0852
1,Peanut Butter Crunchies,26201,68,5.4,3.8,0.8,0.06559999999999999
2,Peanut Butter Fingers,26202,184,15.7,9.6,4.5,0.1125
3,Peanut Surprise Cookies,26203,100,8.6,4.8,0.7,0.0911
4,Pecan Lace Cookies II,26204,190,9.5,11.4,4.3,0.0523
5,Pecan Puffs II,26205,101,3.7,7.1,2.7,0.027399999999999997
6,Pecan Sandies,26206,90,4.5,5.9,0.9,0.0608
7,Peppermint Delights,26207,77,4.9,4.2,1.8,0.038700000000000005
8,Peppermint Meringue Cookies,26208,11,2.1,0.0,0.0,0.0077
9,Persimmon Cookies III,26210,42,2.8,2.1,0.4,0.0285
10,Pfeffernuesse IV,26211,77,6.9,1.8,1.1,0.041299999999999996
11,Pineapple Scotchies,26212,181,16.7,6.9,4.5,0.13369999999999999
12,Prune Filling,26216,55,5.7,3.3,0.3,0.0006
13,Pudding Cookies III,26217,105,11.1,4.6,1.6,0.1439
14,Raisin Crunch Cookie Mix in a Jar,26220,103,14.2,1.3,1.0,0.08929999999999999
15,Raspberry Almond Kiss Cookies,26221,121,11.1,4.4,2.6,0.0767
16,Raspberry Squares I,26222,144,13.1,7.5,5.0,0.1237
17,Raspberry Star Cookies,26223,223,23.8,8.1,4.9,0.10629999999999999
18,Really Nice Spice Cookies,26224,92,5.9,6.0,3.7,0.0055
19,Rum Cookie Balls,26225,95,3.7,4.6,1.3,0.032100000000000004
20,Sarah's Raisin Cookies,26226,89,5.8,3.6,2.1,0.0878
21,Sesame Seed Cookies III,26228,102,4.4,4.6,1.5,0.0341
22,Springerle VI,26233,80,8.4,0.5,0.1,0.027
23,Springerle VII,26234,54,6.2,0.4,0.1,0.0091
24,Strawberry Cake Cookies,26235,78,8.2,2.0,1.0,0.1142
25,Strawberry Cinnamon Oatmeal Cookies,26236,214,11.5,10.6,1.8,0.0902
26,The Best Double Chocolate Chip Cookie,26237,162,15.5,8.7,3.2,0.1484
27,The De Leon Chocolate Chip Cookies,26238,226,18.4,12.4,7.5,0.2127
28,Thin Wandies,26239,162,4.1,5.8,2.5,0.18519999999999998
29,Thumbprint Shortbread Cookies,26240,186,13.0,10.6,2.2,0.1001
30,Timbales,26241,26,2.1,0.4,0.2,0.038
31,Uncle Mac's Peanut Butter and Jelly Cookies,26244,207,20.3,11.3,2.4,0.1056
32,Yummy Chocolate Peanut Butter Cookies,26246,169,8.5,10.1,2.4,0.1676
33,Savory Italian Sausage Sauce,26247,495,21.3,29.2,8.6,2.1016999999999997
34,Alfredo Mostaccioli,26249,430,2.0,25.3,15.3,0.4673
35,Angel Hair Pasta with Garlic Shrimp and Broccoli,26251,431,4.5,19.9,9.7,1.1393
36,Baked Ziti IV,26254,489,9.9,24.5,10.9,0.8014
37,"Bow Ties with Sausage, Tomatoes and Cream",26257,656,6.5,42.1,19.6,1.0884
38,Chicken Alfredo with Fettuccini Noodles,26258,1014,2.4,75.9,47.0,0.8452999999999999
39,Chicken Lasagna IV,26260,618,3.4,37.6,17.8,1.1657
40,Crawfish Linguine,26265,718,2.6,47.9,22.4,0.3842
41,Dad's Bolognese Meat Sauce,26266,469,6.6,34.3,17.3,1.0926
42,Dad's Spaghetti Western,26267,493,5.4,23.3,12.2,0.7352000000000001
43,Green Chile and Cilantro Pesto,26270,123,0.5,11.5,2.4,0.1431
44,Hawaiian Style Pasta,26271,565,11.5,25.6,8.7,1.767
45,Hearty Fettuccini Bolognese Sauce,26272,834,11.1,43.4,14.0,1.1883
46,Jeanne's Slow Cooker Spaghetti Sauce,26274,212,5.9,9.5,2.1,0.6241
47,Lasagna Spirals,26275,315,10.1,11.3,5.9,0.6376000000000001
48,Lemon Cream Pasta with Chicken,26277,532,3.6,25.0,14.3,0.9546
49,Macaroni with White Sauce,26278,536,5.4,20.8,7.7,0.4714
50,Ortega® Vermicelli,26279,322,6.9,8.2,1.3,0.4978
51,Party Pancit,26280,261,4.7,5.2,1.2,0.5682999999999999
52,Pasta with Lentil Soup Sauce,26281,277,1.5,1.7,0.3,0.24680000000000002
53,Pastachutta,26282,272,2.7,6.7,3.8,0.045899999999999996
54,Penne con Sauccia,26283,373,8.8,9.5,2.5,0.748
55,Penne with Chicken and Pesto,26284,497,1.9,26.1,12.6,0.16419999999999998
56,Quick and Easy Chicken Spaghetti,26286,376,3.7,13.2,5.5,1.1109
57,Red Beans and Spaghetti,26289,303,2.1,1.1,0.2,0.0068
58,Restaurant Style Spaghetti Sauce,26290,287,8.4,16.8,5.3,1.0433
59,Simple Marinara Sauce,26293,135,5.0,6.0,1.8,0.6185
60,Singapore Noodles,26294,351,3.7,8.2,1.6,0.30989999999999995
61,Slow Cooker Spaghetti Sauce II,26295,182,12.8,6.1,2.3,0.9218999999999999
62,Slow Cooker Spinach Marinara Sauce,26296,176,8.9,8.2,1.2,2.418
63,Southwestern Pasta Salad,26297,217,2.4,10.3,1.7,0.4683
64,Spag Bol,26298,424,9.2,27.2,10.0,0.386
65,Spaghetti Pizza II,26299,862,16.3,39.8,19.0,1.5633
