,name,id,calories,sugars,fat,sodium,saturated fat
0,Citrus Blueberry Slush,32408,105,23.5,0.2,0.0039,0.0
1,Margaritas with a Bite,32409,556,67.3,0.1,0.0103,0.0
2,Chocolate Banana Shake,32411,204,24.5,5.1,0.1366,3.2
3,Brandy Slush I,32413,200,26.6,0.1,0.0128,0.0
4,Orange Cooler,32416,196,47.5,0.1,0.0015,0.0
5,Iced Coffee,32417,171,26.6,4.4,0.0824,2.7
6,Frozen Summer Slush,32418,253,45.2,0.1,0.0063,0.0
7,Lime-Aid,32423,183,32.7,0.0,0.0034,0.0
8,Mongolian Strawberry-Orange Juice Smoothie,32425,52,10.2,0.2,0.0026,0.0
9,Holiday Punch II,32427,58,12.7,0.1,0.008400000000000001,0.0
10,Champagne Punch IV,32429,67,5.0,0.0,0.009,0.0
11,Cherry Limeade II,32431,382,38.4,0.1,0.0634,0.0
12,Mock Moxie,32438,190,13.1,0.0,0.016,0.0
13,Party Punch IV,32446,82,6.9,0.0,0.0105,0.0
14,Orange Snowman,32447,198,46.4,0.7,0.016399999999999998,0.4
15,Orange Banana Smoothie,32448,340,63.4,2.9,0.0902,1.7
16,Melon Smoothie,32450,70,15.5,0.2,0.020300000000000002,0.1
17,Limoncello,32451,132,17.6,0.0,0.0011,0.0
18,Lemonade Punch,32453,135,12.5,0.1,0.013099999999999999,0.0
19,Pina Colada I,32464,380,36.4,11.6,0.0433,8.9
20,Orange Summer Cooler,32465,189,39.5,1.2,0.0275,0.6
21,Champagne Punch II,32466,260,15.3,0.3,1.1605999999999999,0.1
22,Green Gecko,32467,136,8.5,0.1,0.0016,0.0
23,Lem-Tea Whammy,32469,76,17.8,0.0,0.014,0.0
24,Party Punch VII,32474,101,5.3,0.0,0.009800000000000001,0.0
25,California Smoothie,32478,281,52.2,0.9,0.1555,0.3
26,Georgia Shake,32479,362,38.8,18.5,0.17859999999999998,10.1
27,Breakfast In A Glass,32481,141,19.5,0.5,0.11220000000000001,0.2
28,Chocolate Surprise Milkshake,32482,274,39.3,10.5,0.0693,6.3
29,Chocolate Mint Milkshake,32483,231,29.0,5.6,0.0736,3.4
30,Cappuccino Cooler,32484,199,23.1,9.0,0.0724,5.5
31,Lime Squeeze,32485,5,0.3,0.0,0.0081,0.0
32,Fruit Smoothie II,32488,137,27.4,0.7,0.004200000000000001,0.1
33,Coffee Delight,32489,63,6.5,3.3,0.030199999999999998,2.0
34,The Lisa-tini Martini,32492,165,3.5,0.0,0.0052,0.0
35,Honey Limeade,32498,118,28.6,0.0,0.0011,0.0
