,name,id,calories,sugars,fat,saturated fat,sodium
0,Georgia Barbeque Sauce,36817,11,0.8,0.7,0.4,0.2122
1,Chiliquilla,36823,651,1.2,50.4,20.1,0.5239
2,Blueberry Boy Bait,36829,350,32.7,13.9,8.4,0.415
3,Grilled Eggplant and Feta Farfalle,36850,382,8.7,13.4,5.7,0.5438999999999999
4,Thai Pork Loin,36853,332,0.6,20.5,7.2,0.3519
5,Thai Pork Satay,36856,276,10.8,11.0,2.3,0.5777
6,Halibut with Rice Wine,36867,194,6.6,4.3,0.6,0.2305
7,Cumin Chips,36869,38,0.2,0.5,0.1,0.0081
8,Caesar Mahimahi,36872,187,2.1,2.1,0.8,0.6423
9,Spicy Crusted Swordfish With Citrus-Walnut Sauce,36874,467,19.5,13.2,2.7,0.4682
10,Indonesian Satay,36875,329,6.9,18.2,3.3,0.9571000000000001
11,Cowboy Tacos,36888,286,6.4,13.9,3.4,0.8171
12,Alabama Pulled Pig,36890,363,3.6,24.2,10.0,0.119
