,name,id,calories,sugars,fat,saturated fat,sodium
0,Mint Buttercream Frosting With Dark Chocolate Glaze,7600,267,39.5,12.2,7.7,0.096
1,Chocolate Mint Mayonnaise Cake,7601,267,29.0,12.4,4.3,0.21209999999999998
2,Sad Cake,7602,218,21.6,11.1,2.4,0.1522
3,Raspberry and Strawberry Buckle,7603,266,16.5,13.0,7.9,0.222
4,Hot Fudge Pudding Cake I,7604,234,27.6,6.6,1.0,0.3568
5,No Bake Fruitcake,7605,475,31.7,28.8,8.8,0.116
6,Caramel Nougat Cake IV,7606,847,98.0,38.1,20.7,0.3569
7,Chocolate Marshmallow Icing,7607,352,55.4,13.5,8.3,0.0851
8,Peanut Candy Bar Cake,7608,373,24.6,18.9,9.8,0.3488
9,Blackberry Wine Cake I,7609,407,33.9,22.6,6.5,0.32380000000000003
10,Banana Nut Cake,7610,457,49.0,21.2,8.6,0.199
11,Honey Bun Cake II,7611,312,34.2,14.8,3.6,0.1687
12,Chocolate Lovers' Favorite Cake,7612,604,40.4,40.0,22.8,0.6083999999999999
13,Lane Cake,7613,870,81.2,41.0,20.8,0.5962000000000001
14,Lane Cake Filling,7614,315,33.1,18.1,7.3,0.07429999999999999
15,Apple Cake I,7615,201,18.9,9.7,1.3,0.1072
16,Chocolate Chocolate Chip Dream Cake,7616,363,36.6,15.8,6.9,0.3679
17,Spintz Cake,7617,702,79.3,30.5,9.6,0.4805
18,Very Special Tomato Spice Cake,7618,485,40.3,21.5,2.8,0.4767
19,Dutch Apple Cake,7619,193,19.3,7.6,2.0,0.18519999999999998
20,Apple Bundt Cake,7620,524,40.1,26.7,3.5,0.24330000000000002
21,Cornstarch Cake,7621,171,13.1,6.9,1.8,0.2351
22,Old Fashioned Pineapple Upside-Down Cake,7622,321,43.0,10.4,6.0,0.18309999999999998
23,White Mountain Cake,7623,375,30.3,13.5,3.5,0.2916
24,White Mountain Frosting,7624,119,30.0,0.0,0.0,0.008400000000000001
25,Whipped Cream Cake I,7625,211,16.8,8.3,4.8,0.1978
26,Maple Walnut Frosting,7626,123,26.2,1.6,0.2,0.016399999999999998
27,Almond Paste,7627,369,38.4,19.2,1.5,0.0146
28,Martha Washington's Cake,7628,84,7.3,3.1,1.8,0.0432
29,Gold Cake,7629,203,15.5,10.4,5.7,0.1658
30,White Cream Cake,7630,198,16.3,7.5,4.6,0.1044
31,Chocolate Chip Cookie Dough Cheesecake,7631,549,38.1,36.2,21.5,0.2871
32,Granny Cake I,7632,182,21.0,6.4,3.0,0.18980000000000002
33,Sour Cream Torte,7633,573,27.9,36.8,16.1,0.1363
34,Banana Angel Food Cake,7634,170,23.5,0.3,0.1,0.11
35,Screw Pine Cake,7635,234,10.4,20.1,13.9,0.1525
36,Halloween Layer Cake,7636,249,33.6,8.4,4.1,0.2125
37,Golden Orange Frosting,7637,207,39.3,5.5,3.4,0.0859
38,Butter Cream Frosting I,7638,352,59.0,12.7,7.7,0.12229999999999999
39,Philly Cheesecake,7639,410,16.7,33.6,20.2,0.3008
40,Gob Cake,7640,287,25.4,14.7,4.5,0.2855
41,Sauerkraut Surprise Cake,7641,525,62.6,23.0,13.7,0.36910000000000004
42,One - Two - Three - Four Cake I,7642,209,17.3,9.0,5.4,0.1238
43,German Christmas Gingerbread,7643,518,52.9,22.0,11.2,0.2691
44,Large White Birthday Cake,7644,226,17.6,7.5,2.1,0.2149
