,name,id,calories,sugars,sodium,fat,saturated fat
0,Cranberry Apple Sauce,9100,14,0.8,0.0004,0.0,0.0
1,Cranberry Cherry Pie,9101,469,21.7,0.2904,16.9,4.2
2,Cranberry Chutney I,9102,52,11.0,0.0012,0.1,0.0
3,Cranberry-Tomato Chutney,9103,29,6.5,0.0605,0.0,0.0
4,Cranberry Conserve,9104,129,28.9,0.0009,0.8,0.1
5,Cranberry-Orange Nut Bread,9105,199,14.5,0.266,6.3,1.0
6,Cranberry Relish I,9106,41,9.1,0.0016,0.0,0.0
7,Cranberry Relish II,9107,32,7.5,0.0002,0.0,0.0
8,Fluffy Cranberry Salad,9108,306,64.7,0.0273,1.5,0.9
9,Cranberry Salad II,9109,315,48.7,0.060700000000000004,11.0,1.0
10,Cranberry Salad III,9110,358,37.7,0.1785,18.7,6.4
11,Cranberry Sauce,9111,95,21.3,0.0008,0.1,0.0
12,Cranberry Sauce with Raspberry Vinegar,9112,30,7.0,0.0009,0.0,0.0
13,Cranberry Swirl Coffee Cake,9113,289,21.3,0.3231,12.7,7.6
14,Cranberry Waldorf with Yogurt,9114,100,14.9,0.0288,2.6,0.5
15,"Cranberry, Sausage and Apple Stuffing",9115,195,8.7,0.4684,7.7,3.2
16,Cranberry-Black Cherry Gelatin Salad,9116,299,25.8,0.1103,17.2,6.6
17,Cream Cheese Corn,9117,395,6.3,0.21730000000000002,26.6,15.7
18,Creamed Onions and Sage,9118,249,16.2,0.5518,10.8,6.5
19,Creole Cornbread Stuffing,9119,320,8.4,1.1844000000000001,18.6,10.4
20,Slow Cooker Stuffing,9120,211,2.9,0.7238,13.6,7.8
21,Dad's Pumpkin Chiffon Pie,9121,343,37.5,0.331,11.9,4.1
22,Dee's Date and Nut Bread,9122,300,28.7,0.4174,8.1,1.4
23,Dee's Hot Milk Sponge Cake,9123,197,25.9,0.0987,3.6,1.8
24,Easy Delmonico Potatoes,9124,364,0.1,0.4162,32.3,18.7
25,Double Layer Pumpkin Cheesecake,9125,412,24.1,0.3348,28.6,15.1
26,Dressing Patties,9126,178,4.4,0.5725,6.2,1.8
27,Chocolate Chip Pie II,9127,266,21.4,0.2166,11.7,6.1
28,Eggnog and Cranberry Salad,9128,222,44.8,0.1697,2.4,0.2
29,Extra Gingery Bread,9129,581,51.4,0.457,23.5,3.2
30,Festive Onions,9130,270,3.0,0.2105,24.5,14.8
31,Feta Cheese Foldovers,9131,286,1.1,0.31930000000000003,20.4,7.0
32,Fruit Cocktail Cake,9132,133,19.2,0.0868,0.4,0.1
33,Glazed Pearl Onions With Raisins And Almonds,9133,235,18.6,0.2226,7.5,2.2
34,Gourmet Pumpkin Pie,9134,252,12.6,0.1226,14.6,5.8
35,Great Grandma's Bread Stuffing,9135,172,2.5,0.8781,10.4,2.6
36,Green Bean Casserole from Scratch,9136,221,6.1,0.4752,13.7,6.7
37,Green Bean Casserole II,9137,401,4.4,1.1505,28.5,8.2
38,Green Beans With Walnuts,9138,187,2.0,0.0281,16.0,3.1
39,Bavarian Ice Cream Pie,9139,329,19.0,0.1717,19.8,8.6
40,Green Turkey and Cheese Casserole,9140,337,0.7,0.45239999999999997,23.2,13.2
41,Grilled Goose with Prune Stuffing and Gravy,9141,813,19.3,1.0403,43.7,13.5
