,name,id,calories,sugars,fat,saturated fat,sodium
0,Mini Cheesecakes with Vanilla Wafers,9300,95,3.2,4.8,2.5,0.054200000000000005
1,Pecan Cheesecake,9301,493,33.9,33.1,15.9,0.26539999999999997
2,No-Bake Raisin Cheesecake,9302,121,14.0,3.5,2.2,0.1514
3,Pumpkin Roll,9303,383,32.9,22.0,9.1,0.3257
4,Pumpkin Cake,9304,353,32.4,16.3,2.4,0.19340000000000002
5,Valerie's Cherry Choco-Chip Cake,9305,217,17.5,12.1,2.9,0.22719999999999999
6,Hazelnut and Chipped Chocolate Cheesecake,9306,707,21.2,43.7,23.6,0.2754
7,Sugarplum Bread,9307,307,16.8,8.7,3.7,0.2815
8,Meatball Appetizers,9308,24,0.4,1.7,0.6,0.0579
9,Water Chestnut Wraparounds,9309,78,1.6,6.3,2.1,0.29810000000000003
10,Appetizer Sausage Balls in Blankets,9310,193,0.1,14.1,7.2,0.2751
11,Molasses Cookies,9311,120,11.6,4.7,0.8,0.17880000000000001
12,Christmas Cookies I,9312,180,17.7,3.5,1.2,0.06459999999999999
13,Cherry Shortbread Cookies,9313,218,5.8,15.5,9.7,0.1097
14,Drop Nut Cookies,9314,315,24.1,14.3,3.3,0.1212
15,Christmas Spice Cookies,9315,107,9.7,3.5,1.2,0.1044
16,Grandma's Five Cup Salad,9316,159,18.1,7.1,5.2,0.0499
17,Roast Goose with Wild Rice Stuffing,9317,590,3.4,38.3,11.0,0.1141
18,Super Crispy Roasted Goose,9318,517,1.2,31.4,10.0,0.4184
19,White Fruit Cake,9319,369,30.5,20.2,7.6,0.1024
20,White Chocolate Covered Pretzels,9320,78,5.9,4.3,2.2,0.027600000000000003
21,Orange Crunch Bundt® Cake,9321,322,24.7,17.4,9.6,0.1782
22,Classic Butter Tarts,9322,360,25.3,20.9,7.6,0.3323
23,Leftover Pot Pie,9323,506,0.1,27.8,6.3,0.7666000000000001
24,Calamari in Red Wine and Tomato Sauce,9324,257,6.7,6.5,2.0,1.0043
25,Spiced Ham Loaf,9325,341,10.4,19.8,7.7,0.2414
26,Christmas Carol Punch,9326,51,10.0,0.1,0.0,0.0076
27,Divinity,9327,67,12.4,1.1,0.1,0.0052
28,Ricotta Pie (Old Italian Recipe),9328,352,26.5,13.4,5.4,0.2201
29,Gingerbread Men,9329,79,6.0,3.3,2.0,0.0626
30,Molasses Sugar Cookies,9330,94,6.8,4.5,1.1,0.1052
31,Spiced Apples,9331,110,21.7,0.2,0.0,0.0039
32,Tangy Classic Daiquiris,9332,150,12.3,0.1,0.0,0.004
33,Sausage Christmas Cake,9333,480,42.0,22.8,6.4,0.536
34,Raisin Pudding,9334,959,66.4,38.7,23.0,0.6226
35,Hot Cocoa Mix,9335,175,28.9,2.0,1.6,0.15009999999999998
36,Alaska Salmon Bake with Pecan Crunch Coating,9336,368,6.0,22.4,6.0,0.3529
37,Citrus Broiled Alaska Salmon,9337,168,8.8,3.9,0.9,0.052
38,Lime Salad,9338,129,18.9,4.8,0.5,0.1746
39,Lion House Wassail,9339,91,21.1,0.1,0.0,0.0034
40,Turkey Tetrazzini,9340,604,6.3,26.4,12.9,0.9136
41,Turkey 'n Stuffing Bake,9341,615,9.2,35.4,9.0,1.4995999999999998
42,Chocolate Peanut Butter Pie,9342,453,42.0,26.4,11.8,0.3707
43,Best Rolls Ever!,9343,248,8.6,8.5,5.1,0.6545
44,Cajun Spice Seasoning Mix in a Jar,9344,24,1.0,0.5,0.1,0.0024
45,Coconut Jays,9345,140,13.2,7.7,5.6,0.0544
46,Chocolate Cookie Cheesecake,9346,754,33.8,52.0,30.5,0.3479
47,Nana's Christmas Stollen,9347,153,5.7,4.8,2.8,0.08020000000000001
48,Bill's Divinity,9348,611,136.1,0.0,0.0,0.1995
49,"Roasted Pork, Fennel, and Onions",9349,311,5.4,17.4,6.2,0.1524
50,Olga's Potica,9350,529,22.5,35.6,12.1,0.2176
51,Eggnog I,9351,249,23.8,12.9,7.3,0.1394
52,Chocolate Rum Mousse Pie,9352,571,30.1,42.3,22.8,0.4189
53,Strawberry Bread,9353,281,17.6,16.6,2.1,0.1615
54,Frozen Christmas Pudding,9354,349,39.1,15.7,8.5,0.0696
55,Christmas Cheese Cake,9355,541,18.7,37.0,22.4,0.2606
56,Dad's Oyster Dressing,9356,233,2.1,6.0,1.5,0.1694
57,Best Ever Cheese Fudge,9357,252,36.6,10.5,6.5,0.1466
58,Cheese Ball I,9358,149,0.4,14.0,6.1,0.1794
59,Classic Yule Log,9359,540,37.8,37.5,19.8,0.19619999999999999
60,Pecan Tassies,9360,166,9.1,10.8,2.9,0.09720000000000001
61,Dad's Divinity,9361,509,110.9,0.0,0.0,0.0435
62,Microwave Oven Peanut Brittle,9362,165,15.8,7.5,1.4,0.091
63,Leg of Lamb,9363,476,0.2,29.8,12.2,0.32889999999999997
64,Ischl Tartlets,9364,222,17.6,10.8,5.8,0.07840000000000001
65,Toffee I,9365,115,5.2,8.2,4.2,0.033100000000000004
66,The Ultimate Chocolate Bar,9366,237,27.9,11.1,6.1,0.0867
67,Christmas Cookies II,9367,208,16.3,11.1,3.2,0.0573
68,Fudge,9368,407,13.5,22.5,11.6,0.0517
69,Santa's Favorite Cake,9369,810,107.5,31.7,8.5,0.7112
70,Really Easy Bread Stuffing,9370,248,4.5,3.0,0.7,0.6191
71,Kartoshnik with Cheese and Onions,9371,295,1.5,20.1,11.9,0.4699
72,Jalapeno Cranberry Sauce,9372,66,13.5,0.0,0.0,0.0453
73,Mamie's Salad,9373,311,22.6,18.1,6.8,0.1945
74,Chocolate Bread Pudding with Bourbon Pecan Sauce,9374,732,52.0,43.4,21.1,0.278
75,Popcorn Cake I,9375,438,34.8,25.7,9.3,0.1971
76,Cranberry Raspberry Sauce,9376,106,17.7,0.2,0.0,0.0016
77,Roasted Vegetables,9377,123,3.8,4.7,0.7,0.026
78,Candy Popcorn Cake,9378,359,30.1,20.5,10.9,0.2072
79,Aunt Mazo's Dessert,9379,1365,95.5,98.8,58.7,0.3019
80,Roast Leg of Lamb,9380,382,0.0,25.3,11.0,0.1363
81,Prime Rib,9381,443,0.0,25.7,10.9,0.36460000000000004
82,Festive Bean Spread,9382,170,1.6,11.8,7.3,0.43260000000000004
83,Hot Crab Dip Appetizer,9383,132,0.3,12.0,3.3,0.16069999999999998
84,Alan's Pie Crust,9384,120,0.0,7.2,3.7,0.1729
85,Boiled Custard I,9385,156,18.5,4.9,2.3,0.0855
86,Caramel Corn I,9386,347,19.8,20.0,6.0,0.1805
87,Italian Butter,9387,154,0.8,14.6,2.1,0.5859
88,Boiled Custard II,9388,128,19.0,3.5,1.8,0.0636
89,Russian Tea I,9389,188,44.9,0.2,0.0,0.0026
90,Coconut Rum Balls,9390,1063,67.0,50.8,17.8,0.4526
91,Easy Caramel Sauce,9391,26,2.5,1.4,0.9,0.012
92,Caramel Corn II,9392,243,24.6,6.0,1.9,0.1212
93,Caramel Corn III,9393,208,16.0,8.0,4.1,0.24669999999999997
94,Peanut Butter Fudge I,9394,398,58.3,15.4,4.6,0.1505
95,Kinderpunsch,9395,75,17.9,0.1,0.0,0.0032
96,Choco Shortbreads,9396,180,9.3,10.5,6.5,0.0892
97,Pepper Jelly,9397,182,46.6,0.0,0.0,0.0005
98,My Grandma's Mint Patties,9398,127,20.4,3.9,2.4,0.08009999999999999
99,Pomegranate Jelly,9399,44,11.1,0.0,0.0,0.0001
