,name,id,calories,fat,saturated fat,sodium,sugars
0,Smoked Turkey,35500,447,20.9,6.1,0.1462,0.0
1,Strawberry Nut Muffins,35520,390,26.2,3.9,0.2201,17.8
2,Beetnik Cake,35530,360,16.2,2.7,0.32039999999999996,30.2
3,Leslie's Salty Grilled Potatoes,35536,291,12.0,7.4,5.3767,2.8
4,Rhubarb Strawberry Jam,35545,115,0.1,0.0,0.015300000000000001,28.3
5,Turkey Patties,35554,251,14.4,3.6,0.6262000000000001,0.8
6,Leslie's Strawberry Breakfast Chops,35564,298,12.2,6.0,0.5375,27.5
7,Curry Fish Stew,35569,669,52.9,25.7,0.1439,4.4
8,Caramelized Onions,35570,244,19.0,6.3,0.5012,7.9
9,Indonesian Fried Rice,35580,215,7.7,2.0,1.0335,3.3
10,Blueberry Flavored Waffles,35593,511,19.6,11.2,1.1434000000000002,18.5
11,Grace's Honey Cakes,35596,281,9.7,4.6,0.1643,30.7
