,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Chocolate X and O Cookies,22500,Playful chocolate cookies formed into the shapes of X's and O's. Give as a gift of hugs and kisses or use them to play tic tac toe. ,0,60,57.3,2,3.5,8.3,0.3,3.6,2.3,1.4,0.0116,0.0024,0.0004,0.0014,0.0087,0.0376,"⅔ cup butter, softened #1 cup white sugar #2 large eggs eggs #2 teaspoons vanilla extract #2 tablespoons light corn syrup #2 ½ cups all-purpose flour #½ cup HERSHEY®'S Cocoa Powder #½ teaspoon baking soda #¼ teaspoon salt "
1,Chocolate Coconut Macaroons,22501,These chewy cookies have a rich chocolate flavor. Sweet coconut and condensed milk make them hard to resist. ,0,30,110.8,14,3.5,12.9,0.6,7.1,6.1,4.9,0.0044,0.0389,0.0004,0.009699999999999999,0.09,0.0192,2 (1 ounce) squares HERSHEY®'S Unsweetened Baking Chocolate #1 (14 ounce) can sweetened condensed milk #3 cups MOUNDS® Sweetened Coconut Flakes #1 teaspoon vanilla extract 
2,Chocolate Peanut Butter Brownie,22502,Super duper chocolate brownie with a rich peanut butter frosting on the top. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F976345.jpg,24,242.3,7,3.8,31.1,0.9,23.6,10.8,7.8,0.0293,0.0352,0.0007,0.0027,0.1313,0.09609999999999999,"½ cup butter, softened #1 cup white sugar #1 teaspoon vanilla extract #2 large eggs eggs #1 ¼ cups all-purpose flour #⅛ teaspoon baking soda #¾ cup HERSHEY®'S Chocolate Syrup #1 (10 ounce) package REESE'S® Peanut Butter Chips #⅓ cup white sugar #¼ cup evaporated milk #2 tablespoons butter #⅔ cup REESE'S® Peanut Butter Chips "
3,Apple and Tomato Chutney,22505,"Spicy and a sweet, this delicious chutney goes well with breads, cheeses and chicken! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6443512.jpg,75,24.7,16,4.8,6.2,0.6,4.7,0.1,0.0,0.0,0.005900000000000001,0.0002,0.0032,0.0677,0.1281,"2 pounds apples - peeled, cored and sliced #2 cups water #1 tablespoon mustard seed #2 pounds tomatoes, sliced #2 large onions, chopped #1 clove garlic, chopped #½ cup sultana raisins #¾ cup white sugar #5 teaspoons curry powder #1 teaspoon cayenne pepper #4 teaspoons salt #2 ½ cups malt vinegar "
4,Sugar Pie IV,22506,"Sugar pie made with brown sugar, cream and pecans. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F52584.jpg,10,369.8,2,3.0,51.7,1.9,29.2,16.9,4.9,0.0349,0.0446,0.0017,0.0198,0.1165,0.1148,2 cups brown sugar #1 ¼ cups all-purpose flour #½ cup heavy cream #1 egg #1 tablespoon corn syrup #1 teaspoon vanilla extract #¾ cup chopped pecans #1 (9 inch) unbaked pie crust 
5,Pineapple Cheese Salad,22507,Easy and great recipe for holidays. It goes great with ham or turkey. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6026963.jpg,6,444.5,5,4.6,39.4,0.6,35.7,24.6,15.2,0.1021,0.4327,0.0006,0.0319,0.2289,1.1391,"1 (15 ounce) can pineapple chunks #1 pound processed American cheese, cubed #1 egg #¾ cup white sugar #2 tablespoons all-purpose flour "
6,Golden Knots,22508,The best sweet rolls you'll ever taste! They don't last long in my house. They are delicious with or for breakfast...also a delicious roll for dinner! Enjoy! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F743338.jpg,20,291.7,41,4.5,50.3,1.5,12.0,7.0,4.0,0.0348,0.0268,0.0025,0.013800000000000002,0.0945,0.2868,"2 (.25 ounce) packages active dry yeast #2 tablespoons white sugar #1 ½ cups warm water (110 degrees F/45 degrees C) #1 cup milk #½ cup butter #1 cup white sugar #2 eggs #2 teaspoons salt #8 cups all-purpose flour #2 tablespoons butter, melted "
7,Easy Peachy Cobbler Bake,22509,"Canned peaches in light syrup are baked in a sweetened baking mix topping for an easy, comforting cobbler. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F701842.jpg,18,148.4,25,4.0,28.8,0.8,22.2,3.6,1.7,0.0058,0.0448,0.0006,0.005,0.0952,0.1631,1 (29 ounce) can peaches in light syrup #⅔ cup white sugar #3 tablespoons butter #⅔ cup brown sugar #1 ½ cups all-purpose baking mix #1 ⅓ cups buttermilk 
8,Baked Beans III,22510,Canned beans and bits of bacon. canned beans and bacon bits ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4507914.jpg,5,525.6,110,4.7,77.4,6.4,55.9,21.0,6.9,0.030899999999999997,0.0932,0.0024,0.0518,0.5052,0.9286,"1 (28 ounce) can baked beans #½ pound bacon, cut into small pieces #8 ounces brown sugar "
9,Michelle's Zesty Hummus-like Spread,22511,I made this recipe the other day when I was hungry for hummus but didn't have all the ingredients. Italian-style salad dressing adds a nice zest to an otherwise traditional favorite. Garnish with the unused half of the red pepper or spinach. Serve with bagels or pita bread. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F811674.jpg,16,57.4,9,4.2,5.9,1.0,1.6,3.3,0.4,0.0025,0.0088,0.0003,0.0067,0.0505,0.1759,"1 (15 ounce) can garbanzo beans #¼ cup Italian-style salad dressing #½ cup creamy salad dressing, e.g. Miracle Whip ™ #1 red bell pepper, seeded and chopped #1 teaspoon dried oregano #½ teaspoon garlic powder #½ teaspoon sesame seeds "
10,Oatmeal Pie,22512,"This looks and tastes just like pecan pie, but it's made with oatmeal. My mom by marriage gave this recipe to me over 40 years ago. There's not a family get together without someone bringing one for our family dinners. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7670771.jpg,10,313.4,26,3.9,47.9,1.5,22.0,12.5,2.8,0.055799999999999995,0.019,0.0011,0.0158,0.065,0.1829,"¾ cup light corn syrup #¾ cup white sugar #3 eggs #1 cup rolled oats #¼ cup margarine, melted #2 teaspoons vanilla extract #1 (9 inch) unbaked pie crust "
11,Zucchini Quiche,22513,This is a yummy side dish that we have almost once aweek. Good with chicken dinners. My girls like it cold the next day for a snack. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7091445.jpg,6,272.3,51,4.3,15.4,1.2,2.1,20.1,4.7,0.12890000000000001,0.1256,0.0018,0.0159,0.19190000000000002,0.6351,"1 cup biscuit baking mix #1 teaspoon dried oregano #1 teaspoon seasoning salt #½ teaspoon garlic powder #¼ teaspoon salt #1 teaspoon dried parsley #⅓ cup grated Parmesan cheese #½ cup grated onion #4 eggs, beaten #⅓ cup vegetable oil #1 zucchini, sliced into rounds "
12,Chewy Chestnuts,22514,A very simple to prepare and excellent to snack on tasty appetizer! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F749799.jpg,4,476.9,5,4.9,52.9,2.2,34.2,26.0,8.5,0.0386,0.0208,0.001,0.0247,0.4462,1.8871,"1 (8 ounce) can water chestnuts, drained #½ pound sliced bacon #1 (18 ounce) bottle barbeque sauce "
13,Apple Maple Crumble Pie,22515,This is a good recipe to use when you have fresh apples in autumn. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8387625.jpg,6,451.7,215,4.6,76.1,4.2,50.7,16.4,9.9,0.0407,0.0577,0.0018,0.030100000000000002,0.2767,0.1452,"5 apples - peeled, cored and sliced #⅔ cup maple syrup #½ cup butter #½ cup brown sugar #¾ cup all-purpose flour #1 pinch salt #¾ cup rolled oats "
14,Magic Mango Bread,22516,I never particularly cared for mangos until I tried this recipe. This recipe came from a friend in Hawaii and is the only bread I now make. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1006818.jpg,20,264.4,192,4.6,32.3,1.6,19.0,14.5,5.6,0.040100000000000004,0.0167,0.001,0.013699999999999999,0.1039,0.2292,"2 cups all-purpose flour #2 teaspoons baking soda #½ teaspoon salt #2 teaspoons ground cinnamon #½ cup butter, softened #½ cup vegetable oil #1 ½ cups white sugar #3 eggs #1 teaspoon vanilla extract #3 cups peeled, seeded and chopped mango #½ cup raisins #½ cup chopped walnuts #½ cup shredded coconut "
15,Dana's Party Mix,22518,This is a nice change from the traditional mix you bake in the oven. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F670329.jpg,20,659.6,21,4.6,69.5,3.7,5.8,38.4,5.6,0.0,0.052700000000000004,0.0114,0.06420000000000001,0.21530000000000002,1.3153,1 (17.5 ounce) package crispy rice cereal squares #1 (6 ounce) package goldfish crackers #1 (15 ounce) package small pretzel twists #1 pound mixed nuts #1 (12 ounce) package oyster crackers #1 (10.5 ounce) package mini cheese-filled sandwich crackers #1 (12 ounce) container butter flavor popcorn oil #1 (1 ounce) package dry Ranch-style dressing mix 
16,Chocolate Covered Cherries II,22519,"Maraschino cherries with stems are rolled in a sweet coating, then dipped in chocolate. These candies are best left 1-2 weeks before eating. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F624087.jpg,16,249.3,50,4.4,41.1,1.5,30.7,10.8,4.6,0.0001,0.013300000000000001,0.0007,0.026600000000000002,0.1152,0.036,"2 ½ cups confectioners' sugar #¼ cup margarine #1 tablespoon milk #½ teaspoon almond extract #4 (4 ounce) jars maraschino cherries, drained #2 cups semisweet chocolate chips #2 tablespoons shortening "
17,Pizza Muffins,22520,"Great muffin for lunches, with a pasta dish or a late night snack. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1044863.jpg,12,240.8,47,3.8,24.6,0.9,3.9,10.6,6.4,0.0469,0.2889,0.0017,0.019600000000000003,0.1373,0.42910000000000004,"2 ½ cups all-purpose flour #2 teaspoons baking powder #½ teaspoon baking soda #½ teaspoon salt #1 teaspoon dried basil leaves #½ teaspoon dried oregano #2 tablespoons white sugar #3 sun-dried tomatoes packed in oil, drained and diced #2 ½ cups shredded sharp Cheddar cheese, divided #4 green onions, chopped #1 egg, beaten #1 ½ cups buttermilk "
18,Bacon Chicken and Dumplings,22521,"This recipe is so easy, and very tasty as well! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F194483.jpg,8,451.8,364,4.2,44.2,3.2,7.2,20.8,9.7,0.07790000000000001,0.1966,0.0022,0.0619,0.7616,0.6454,"3 slices bacon #3 large potatoes, peeled and diced #1 onion, diced #4 skinless, boneless chicken breast halves - diced #3 cups chicken broth #1 teaspoon poultry seasoning # salt and pepper to taste #1 (15.25 ounce) can whole kernel corn, drained and rinsed #3 cups half-and-half #1 ½ cups biscuit mix #1 cup milk "
19,Sweet Potato Pie IX,22522,"A tasty pie made from sweet potatoes, and always an interesting addition at Thanksgiving or at anytime of year!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7399477.jpg,16,371.1,158,4.7,53.8,3.4,30.0,15.4,6.5,0.06520000000000001,0.0674,0.0014,0.0289,0.3575,0.2347,"3 large sweet potatoes #½ cup butter, softened #1 tablespoon vanilla extract #2 cups sugar, or more to taste #½ teaspoon ground nutmeg #4 eggs, beaten #¾ cup evaporated milk #2 (9 inch) unbaked pie shells "
20,JK's Sausage Casserole,22523,This makes a great brunch item on Sunday. We like to use hot sausage but mild works as well. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F345729.jpg,6,593.9,26,3.9,15.6,0.7,5.9,47.0,19.6,0.2736,0.36819999999999997,0.0025,0.037,0.4181,0.8975,"1 pound fresh, ground pork sausage #1 onion, thinly sliced #1 ½ cups Cheddar cheese, shredded #4 slices bread #6 eggs #2 cups milk "
21,Chicken Jambalaya II,22524,Easy meal to prepare. Can feed my family of 6 easily. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1128688.jpg,6,390,8,3.3,42.9,4.4,8.2,5.1,0.8,0.09129999999999999,0.09670000000000001,0.0031,0.0804,0.9094,0.3009,"1 tablespoon canola oil #3 onions, diced #3 green bell peppers, diced #½ cup water, divided #4 skinless, boneless chicken breast halves - cubed #2 (14.5 ounce) cans whole peeled tomatoes, chopped, juice reserved # garlic powder to taste # onion powder to taste # chili powder to taste #2 cups uncooked instant rice "
22,Exotic Salad,22525,"This salad is delicious! Everyone I serve it to loves it, and it looks beautiful as well. Excellent for summer barbecues. This recipe is a hit!!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F994789.jpg,4,366.5,12,4.1,15.8,12.1,5.1,34.1,4.4,0.0,0.0691,0.003,0.019100000000000002,0.1712,0.7835,"1 (6 ounce) can sliced mushrooms, drained #1 (6 ounce) can sliced black olives, drained #1 (6 ounce) can artichoke hearts, drained #1 (14.25 ounce) can hearts of palm, drained and sliced #1 (15 ounce) can baby corn, drained #½ cup olive oil #¼ cup fresh lemon juice #1 clove garlic, minced # salt and pepper to taste #2 sprigs fresh parsley, chopped #4 leaves fresh basil, chopped "
23,Carolina BBQ,22527,Carolina style shredded pork BBQ. This recipe was given to us when we lived in the Carolinas. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2848313.jpg,6,514.9,17,3.8,14.1,0.2,13.1,27.2,9.5,0.17859999999999998,0.0432,0.0033,0.0424,0.7504,0.26039999999999996,"6 pounds pork shoulder #1 bay leaf #1 teaspoon crushed red pepper flakes #4 cups water #1 cup vinegar #⅓ cup white sugar #3 tablespoons ketchup #1 tablespoon Worcestershire sauce #1 teaspoon dry mustard #1 clove garlic, pressed "
24,Amaretto Chicken,22528,"Rich and tasty. I had this in a restaurant years ago, experimented with it at home until I finally got it right. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1051580.jpg,4,804,52,3.9,23.4,1.8,15.5,57.2,34.3,0.2394,0.3516,0.0025,0.053899999999999997,0.7032999999999999,0.5987,"½ cup butter, divided #4 skinless, boneless chicken breast halves #3 green onions, diced #1 pound fresh mushrooms, sliced #3 cloves garlic, crushed #½ teaspoon chopped fresh tarragon #1 cup heavy cream #1 cup shredded Gruyere cheese #½ cup amaretto liqueur #¼ cup capers "
25,Oh So Tender Brisket,22529,"Brisket - tender, tasty and oh so easy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3208415.jpg,7,415.7,83,4.6,6.2,0.5,0.2,33.7,11.5,0.0799,0.0173,0.0023,0.017,0.2071,0.4055, Roasting bag #¼ cup all-purpose flour #3 pounds beef brisket #1 ¾ fluid ounces liquid smoke flavoring #½ teaspoon garlic powder #1 (1 ounce) package dry onion soup mix #1 teaspoon freshly ground black pepper 
26,Blackberry Pie IV,22530,This is the easiest and yummiest pie recipe. Handed down from my granny! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F21313.jpg,8,342.5,39,4.5,42.5,5.3,15.9,18.2,5.6,0.0076,0.026600000000000002,0.0017,0.020399999999999998,0.147,0.2551,4 cups blackberries #½ cup white sugar #3 tablespoons tapioca #2 tablespoons butter #1 recipe pastry for a 9 inch double crust pie 
27,Almond Sauce Chicken Breasts,22531,This tasty dish is very rich in flavour. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F173205.jpg,4,1095.3,25,3.5,33.1,12.5,7.5,88.8,26.3,0.227,0.31089999999999995,0.0064,0.30519999999999997,1.457,0.206,"4 skinless, boneless chicken breast halves # salt and pepper to taste #1 egg #½ cup water #2 cups finely chopped almonds #¼ cup butter #3 tablespoons olive oil #1 pound fresh mushrooms #1 onion, sliced into rings #2 cloves garlic, crushed #1 cup heavy cream #¼ cup almond paste #½ teaspoon freshly ground nutmeg "
28,Egg Roll Wrappers,22532,"Homemade egg roll wrappers can be a real treat for the self-sufficient cook! Getting the wok to the correct temperature may be a challenge. If the batter sets before the wrapper is fully formed, the wok is too hot; if the edges are thin, it's too cool. Experiment and enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3507089.jpg,8,88.5,56,3.5,10.5,0.4,0.1,4.1,0.8,0.0233,0.0054,0.0008,0.0038,0.023,0.08170000000000001,"1 egg, beaten #¾ cup cold water #¼ teaspoon salt #⅞ cup all-purpose flour #2 tablespoons peanut oil "
29,Whipped Sweet Potatoes with Pears,22533,These creamy sweet potatoes baked with pears smell wonderful while cooking and taste magnificent on the Thanksgiving table. This dish is sure to become a family favorite! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F22662.jpg,8,405.3,28,4.6,58.2,7.9,31.1,18.2,6.0,0.024399999999999998,0.1536,0.0015,0.06459999999999999,0.7186,0.15059999999999998,"8 sweet potatoes #4 pears - peeled, cored and chopped #1 cup evaporated milk #2 teaspoons vanilla extract #½ cup packed brown sugar #4 tablespoons butter #½ teaspoon ground cinnamon #1 pinch freshly grated nutmeg #2 tablespoons orange juice #1 cup chopped pecans "
30,Baked Salmon Fillets Dijon,22538,"Delicious baked salmon coated with Dijon-style mustard and seasoned bread crumbs, and topped with butter. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9297680.jpg,4,330.6,1057,4.7,7.5,0.4,0.4,21.5,9.1,0.1065,0.0232,0.0009,0.0308,0.3479,0.5525,"4 (4 ounce) fillets salmon #3 tablespoons prepared Dijon-style mustard # salt and ground black pepper to taste #¼ cup Italian-style dry bread crumbs #¼ cup butter, melted "
31,Quick and Easy Yorkshire Pudding,22539,"The secret to making foolproof Yorkshire pudding is to add the batter to sizzling hot fat. That way, the puddings puff up and get crispy on the outside, but stay perfectly tender inside. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff0e3d99e3baf07af9f6d156dc6c82ef1%2F16497776831649777664065167567283831704512.jpg,12,82.9,376,4.5,9.0,0.3,1.1,3.7,1.9,0.053200000000000004,0.0325,0.0007,0.0060999999999999995,0.059,0.039700000000000006,3 eggs #1 cup milk #1 cup all-purpose flour #2 tablespoons butter 
32,Dijon Crusted Halibut,22540,"Delightful baked halibut breaded with a spicy mixture of Dijon mustard, horseradish, fresh Parmesan cheese and bread crumbs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2239941.jpg,4,318.1,198,4.3,11.8,0.7,1.4,17.1,2.7,0.049100000000000005,0.07759999999999999,0.0018,0.008199999999999999,0.5672,0.4142,"¼ cup mayonnaise #1 tablespoon prepared Dijon-style mustard #1 tablespoon prepared horseradish #1 tablespoon fresh lemon juice #¼ cup dry bread crumbs #1 tablespoon grated Parmesan cheese #4 (4 ounce) fillets halibut #1 tablespoon margarine, melted #¼ cup dry bread crumbs #1 tablespoon grated Parmesan cheese "
33,Budget Berry Jam,22541,Need another way to use green tomatoes? Puree them and heat with sugar and fruit flavored gelatin (use your favorite flavor!) and you've got freezer jam! ,0,32,134.8,3,2.8,32.7,0.4,25.0,0.6,0.1,0.0,0.0063,0.0002,0.0035,0.0564,0.1159,4 cups green tomato pulp #4 cups white sugar #2 (3 ounce) packages fruit flavored Jell-O® mix 
34,Holiday Cheese Ball,22542,This is a cheese ball that is great for an appetizer at a party. You can dress is up with nuts on the outside or a little extra hot pepper sauce for that extra zing!! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1076207.jpg,8,111.7,11,4.3,1.2,0.1,0.2,10.3,6.4,0.0367,0.0277,0.0006,0.0028,0.07840000000000001,0.20980000000000001,"1 (8 ounce) package cream cheese #1 (2.5 ounce) package smoked sliced beef, chopped #3 green onions, finely chopped #1 dash hot pepper sauce "
35,Old Fashioned Giblet Stuffing,22543,"If you like an old fashioned stuffing, then this one's for you. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F748313.jpg,8,243.3,38,4.9,20.0,1.2,2.4,14.1,7.9,0.1171,0.0684,0.0035,0.0172,0.19140000000000001,0.4789,½ cup butter #1 sack giblets from one turkey #1 cup diced celery #½ cup chopped onion # salt and pepper to taste #1 teaspoon poultry seasoning #8 cups dry bread cubes #1 cup chicken broth 
36,Pecan Pie V,22544,"Unlike most pecan pies, this one does not require corn syrup. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fb0907f6ed6fc4213c3f012fb2503175a%2F164733580020220314_195314.jpg,8,312.9,2112,4.6,26.9,1.3,24.6,22.6,8.5,0.0772,0.0371,0.0008,0.020399999999999998,0.105,0.1051,1 cup light brown sugar #¼ cup white sugar #½ cup butter #2 eggs #1 tablespoon all-purpose flour #1 tablespoon milk #1 teaspoon vanilla extract #1 cup chopped pecans 
37,Cocoa Sleigh Ride,22545,This is the best to have on Christmas eve or Christmas morning. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F04%2F26%2FCocoa-Sleigh-Ride-Tammy-Lynn-2000.jpg,1,202.8,14,4.5,35.8,1.1,19.3,5.6,1.9,0.006900000000000001,0.0496,0.0005,0.0251,0.26130000000000003,0.1564,1 instant cocoa #3 tablespoons whipped cream #1 tablespoon red and green candy sprinkles #1 maraschino cherry 
38,Covered with Kisses Chocolate-Cherry Torte,22548,"Fudgey chocolate cake frosted with cream cheese. On the top, a heart is outlined in Mini Kisses and filled in with cherry pie filling. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F979077.jpg,10,623.7,1,5.0,80.3,1.4,51.9,31.3,19.4,0.1119,0.0842,0.0016,0.009699999999999999,0.1245,0.25639999999999996,"½ cup butter #1 ¼ cups white sugar #1 teaspoon vanilla extract #2 large eggs eggs #⅔ cup all-purpose flour #½ cup HERSHEY®'S Cocoa Powder #¼ teaspoon baking powder #¼ teaspoon salt #1 (8 ounce) package cream cheese, softened #1 cup confectioners' sugar #½ cup heavy cream, chilled #1 (21 ounce) can cherry pie filling, chilled #1 (10 ounce) package HERSHEY®'S MINI KISSES™ Milk Chocolate Baking Pieces "
