,name,id,calories,sugars,fat,saturated fat,sodium
0,Indian Pork Chops,35909,221,6.5,15.4,4.2,0.1719
1,Ranch Bean Salad,35911,482,8.0,29.1,10.1,0.9914
2,Caribbean Pasta with Shrimp,35913,482,13.7,14.9,2.7,0.7854
3,Barbecued Pig,35920,602,0.5,57.9,16.7,0.3388
4,Pears Covered with Chocolate,35940,244,38.1,7.4,4.0,0.0014
5,Sukiyaki Beef,35955,207,2.4,13.4,5.0,0.2541
6,French Fried Potatoes,35963,498,18.1,33.2,4.2,0.3053
7,Grandma Oma's Pickled Okra,35965,10,0.3,0.0,0.0,0.5846
8,Peach Dumplings,35977,761,27.5,19.2,8.3,0.2248
9,Colorado Mexican Pizza,35985,1376,10.5,73.5,39.2,2.7508000000000004
10,Banana Kiwi Strawberry Tart,35986,115,10.0,3.1,1.9,0.0717
11,Hot Italian Sausage,35989,326,0.1,26.9,9.4,0.3358
12,Classic Hollandaise Sauce,35995,165,0.1,17.6,10.5,0.5009
