,name,id,calories,sugars,fat,saturated fat,sodium
0,Botercake (Butter Cake),7300,276,17.7,15.6,9.3,0.3093
1,Marron Layer Cake,7301,286,23.5,14.3,4.0,0.1027
2,The Best Chocolate Cake You Ever Ate,7302,335,36.9,16.4,6.1,0.2169
3,Butter Pound Cake,7303,532,43.2,28.1,16.9,0.137
4,Eclair Cake,7304,395,45.6,14.2,6.5,0.48119999999999996
5,Banana Cake I,7305,424,41.5,13.2,7.8,0.332
6,Surprise Banana Cake,7306,144,10.9,6.0,2.7,0.1077
7,Mini Cheesecakes I,7307,95,3.2,4.8,2.5,0.054200000000000005
8,Apricot Sponge Cake,7308,145,18.7,1.9,0.6,0.1259
9,Praline Chocolate Cake,7309,610,40.3,38.7,19.3,0.11109999999999999
10,Burnt Sugar Cake I,7310,136,14.3,4.5,2.7,0.1413
11,Mom's Fruitcake with Brandy,7311,442,58.1,11.9,5.5,0.126
12,Chocolate Cake I,7312,167,14.6,7.1,4.2,0.0917
13,Brown Sugar Cake,7313,465,43.0,17.4,10.6,0.2804
14,Favorite Chocolate Cake,7314,326,25.3,15.0,9.1,0.2769
15,Orange Sponge Cake,7315,144,17.4,1.4,0.4,0.0992
16,Philadelphia Red Cake,7316,309,30.8,11.4,6.6,0.2185
17,Great Chocolate Cake,7317,238,14.9,15.9,9.3,0.047700000000000006
18,Quick Sunshine Cake,7318,331,31.0,16.9,7.1,0.3242
19,Double Chocolate Cake I,7319,131,14.2,5.3,3.1,0.1859
20,Coconut Pound Cake,7320,438,46.1,20.0,11.1,0.195
21,Pineapple Layer Cake,7321,407,33.0,14.9,7.3,0.2724
22,Favorite Old Fashioned Gingerbread,7322,375,31.5,11.2,6.7,0.4347
23,Glorious Sponge Cake,7323,124,14.5,2.2,0.7,0.0718
24,Angel Food Cake I,7324,137,22.1,0.1,0.0,0.0745
25,Sour Cream Chocolate Cake,7325,338,37.8,13.7,5.7,0.2293
26,Cream Cheese Pound Cake I,7326,541,43.2,27.7,16.7,0.21819999999999998
27,Earthquake Cake I,7327,311,31.7,16.3,8.6,0.2499
28,Worm Cake,7328,300,33.6,8.7,2.4,0.2963
29,Karen A's Chocolate Dump Cake,7329,192,19.5,8.2,3.6,0.20959999999999998
30,Maraschino Cherry Nut Cake,7330,676,82.3,24.1,10.0,0.3039
31,Buttercream Cake Frosting,7331,273,47.4,9.4,5.9,0.1077
32,Green Cake,7332,153,17.7,5.0,2.4,0.2012
33,Strawberry Cake I,7333,179,15.8,9.3,1.4,0.1728
34,Ricotta Cheese Cake,7334,168,16.3,5.4,2.0,0.18569999999999998
35,Fruit Cocktail Cake I,7335,176,25.6,0.5,0.1,0.1484
36,Pistachio Cake I,7336,328,29.3,17.0,4.9,0.3831
37,Passover Brownie Cake,7337,342,28.3,22.4,3.1,0.020300000000000002
38,Pineapple Pudding Cake,7338,413,41.1,15.6,7.3,0.4551
39,Gateau D'Abricot A L'Orange,7339,372,46.6,15.4,7.9,0.2223
40,Banana Nut Coconut Cake,7340,708,74.7,34.3,14.6,0.26730000000000004
41,Cinnamon Teacake,7341,244,20.8,11.9,7.5,0.2845
42,Easy Raisin Cake,7342,150,12.1,7.2,2.8,0.1291
43,Cassata alla Siciliana (Sicilian Cream Tart),7343,440,45.1,14.6,7.1,0.258
44,Banana Nut Frosting,7344,331,44.8,16.0,7.1,0.0726
45,Gingerbread I,7345,211,16.0,9.1,2.3,0.2355
46,Coconut Cake I,7346,560,72.9,22.5,15.9,0.3907
47,Fresh Pineapple Upside Down Cake,7347,290,27.3,13.0,7.7,0.2823
