,name,id,calories,sugars,fat,saturated fat,sodium
0,Banana Prune Muffins,34004,187,16.8,5.2,0.9,0.1378
1,Bread Pudding with Whiskey Sauce III,34014,641,61.3,24.2,13.9,0.42860000000000004
2,Baked Doughnuts,34018,280,19.3,9.5,5.5,0.2592
3,Fluffy Cake Doughnuts,34021,196,23.6,2.4,0.8,0.2723
4,Marzipan II,34025,155,22.1,4.0,0.4,0.008400000000000001
5,White Chocolate and Passion Fruit Cheesecake,34029,474,19.8,35.5,19.9,0.2226
6,Jalapeno Chicken II,34066,446,6.4,32.5,8.5,1.5315999999999999
7,Flip Flop Grilled Chicken,34082,333,1.1,18.9,11.4,0.7203999999999999
8,Orange Chicken Delight,34087,479,49.6,6.2,1.6,0.2312
9,Grilled Spiced Chicken with Caribbean Citrus-Mango Sauce,34099,418,19.1,3.5,1.0,0.06620000000000001
