,name,id,calories,sugars,fat,saturated fat,sodium
0,German Pancakes I,33101,273,19.8,10.4,5.1,0.24080000000000001
1,Delicious Pancakes,33106,371,14.2,18.0,3.2,0.7982
2,Spice Balls,33107,439,34.5,19.5,2.5,0.2902
3,Aussie Omelet,33109,292,4.5,20.1,8.9,0.3063
4,Oatmeal and Wheat Flour Blueberry Pancakes,33116,250,6.9,10.9,1.8,0.5296000000000001
5,Cinnamon Pastries,33117,227,12.2,13.1,7.9,0.2621
6,German Potato Pancakes,33118,283,2.4,11.0,2.0,0.2455
7,Portuguese Muffins - Bolo Levedo,33121,287,14.5,5.0,2.6,0.123
8,Pineapple Orange Pancakes,33122,271,16.2,9.0,1.2,0.3851
9,Veggie-Bean Brunch Casserole,33123,334,4.2,22.0,5.6,0.742
10,Three Cheese Breakfast Bake,33124,374,2.9,24.7,12.8,0.7427999999999999
11,Corned Beef Hash,33129,434,3.7,8.8,3.6,0.7177
12,Cheesy Horseradish Omelet,33131,506,2.8,38.1,19.9,0.9017000000000001
13,Breakfast Meatloaf,33137,252,7.3,11.5,4.6,0.30460000000000004
14,Apple Sausage Wagon Wheel,33142,463,24.8,24.5,4.6,0.9226
15,Pashka,33145,401,25.3,28.8,16.6,0.2693
16,Perfect Tortilla Espanola,33152,489,3.1,25.6,7.7,0.7781
17,Pineapple Scones,33153,177,8.6,7.5,5.3,0.1682
18,World's Best Waffles,33154,398,9.4,11.8,3.2,0.6342000000000001
19,Blueberry Oat Muffins,33155,203,11.2,9.9,1.6,0.1672
20,Apple Strudel Muffins,33157,264,24.4,9.7,5.8,0.2546
21,Poppy Seed and Banana Muffins,33158,186,9.2,8.2,1.5,0.2501
22,Oatmeal Chocolate Chip Pancakes,33160,177,4.9,5.4,1.6,0.4054
23,Bran Muffins with Coffee,33162,112,7.1,3.2,1.8,0.1834
24,Best Breakfast Salsa,33163,202,1.6,19.0,6.3,0.4575
25,Alan's Ultimate Bran Muffins,33165,280,26.5,7.2,1.7,0.3107
26,Kathie's Grits Casserole,33170,436,0.2,33.4,14.9,0.5804
27,Mom's Breakfast Strata,33174,496,5.8,32.2,16.7,1.0728
28,Baked Cider Doughnuts,33175,137,10.4,1.9,0.8,0.2811
29,Delicious Gluten-Free Pancakes,33176,147,1.5,5.8,0.8,0.26880000000000004
30,Souffle a la KC,33182,298,3.2,21.7,12.4,0.546
31,Breakfast Rounds,33190,219,10.0,11.3,2.2,0.2037
