,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
0,Brownie Oat Cookies,10400,These cookies are low in fat and simple to make!! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4476467.jpg,12,128.9,79,3.9,29.5,1.6,13.8,0.8,0.3,0.0315,0.001,0.023100000000000002,0.1018,0.105,⅔ cup all-purpose flour #⅔ cup white sugar #1 cup quick cooking oats #⅓ cup unsweetened cocoa powder #1 teaspoon baking powder #¼ teaspoon salt #2 egg whites #⅓ cup light corn syrup #1 teaspoon vanilla extract ,0.0
1,Meltaway Brownies,10401,Moist and chewy brownies ... one of the best recipes ever! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F939041.jpg,12,256.2,17,3.1,20.4,2.3,13.8,19.8,8.7,0.037700000000000004,0.0023,0.0492,0.1564,0.121,½ cup butter #4 (1 ounce) squares unsweetened chocolate #¾ cup packed brown sugar #¼ cup water #2 eggs #1 teaspoon vanilla extract #⅓ cup all-purpose flour #¼ teaspoon salt #1 cup chopped walnuts ,0.0513
2,The Best Rolled Sugar Cookies,10402,"Whenever you make these cookies for someone, be sure to bring along several copies of the recipe! You will be asked for it, I promise! NOTE: I make icing with confectioners' sugar and milk. I make it fairly thin, as I 'paint' the icing on the cookies with a pastry brush. Thin enough to spread easily but not so thin that it just makes your cookies wet and runs off. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F96454d2bea7f43e35ae44aec964daef7%2F2926133.jpg,60,109.5,8557,4.0,14.7,0.3,6.7,5.0,3.0,0.013800000000000002,0.0006,0.0029,0.0173,0.09259999999999999,"1 ½ cups butter, softened #2 cups white sugar #4 eggs #1 teaspoon vanilla extract #5 cups all-purpose flour #2 teaspoons baking powder #1 teaspoon salt ",0.0246
3,Preacher Cookies,10403,"Easy, no-bake cookies. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F349282.jpg,18,231.4,129,4.5,33.9,2.3,23.3,9.9,4.2,0.0215,0.0009,0.037,0.133,0.0912,½ cup butter #4 tablespoons unsweetened cocoa powder #2 cups white sugar #½ cup milk #⅛ teaspoon salt #3 cups quick cooking oats #½ cup crunchy peanut butter #1 teaspoon vanilla extract ,0.0141
4,Fig Cookies,10404,Similar to Fig Newtons. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7481454.jpg,12,267.4,13,3.9,33.0,0.6,16.9,13.8,3.5,0.0528,0.0012,0.0058,0.0346,0.1459,2 cups fig preserves #¾ cup shortening #2 eggs #1 cup white sugar #2 cups all-purpose flour #1 teaspoon vanilla extract #½ teaspoon baking soda #2 teaspoons baking powder ,0.031
5,Lemon Coolers,10405,"Lemon-flavored, dainty cookies. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F933655.jpg,36,108.2,32,4.1,18.6,0.1,14.2,3.4,2.0,0.0077,0.0003,0.0003,0.0152,0.10629999999999999,"1 (18.25 ounce) package lemon cake mix #1 (8 ounce) container frozen whipped topping, thawed #1 egg #2 cups confectioners' sugar ",0.0089
6,Gumdrop Cookies II,10406,Kids love 'em! ,0,24,108.6,4,3.6,15.9,0.5,10.8,4.6,0.9,0.0166,0.0004,0.009800000000000001,0.0324,0.06470000000000001,"1 cup all-purpose flour #½ teaspoon baking powder #½ teaspoon salt #⅓ cup shortening #⅔ cup white sugar #1 egg #½ teaspoon vanilla extract #2 tablespoons milk #¾ cup gumdrops, chopped #½ cup blanched almonds ",0.0079
7,Mrs. Fields Sugar Cookies,10407,Just like Mrs. Field's sugar cookies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F222758.jpg,18,166,234,4.1,21.8,0.4,11.2,8.1,5.0,0.006,0.0007,0.0036,0.0214,0.091,2 cups all-purpose flour #¼ teaspoon salt #¾ cup white sugar #1 egg #1 teaspoon vanilla extract #¼ cup colored sugar for decoration #¾ cup butter ,0.030699999999999998
8,Log Cabin Cookies,10408,Tasty cookies from long ago. ,0,30,147.6,4,2.8,19.5,0.6,7.0,7.3,3.2,0.053,0.0008,0.0096,0.0441,0.2015,¾ cup butter #½ cup dark corn syrup #¾ cup packed brown sugar #½ tablespoon maple flavored extract #3 cups self-rising flour #1 cup chopped walnuts ,0.012199999999999999
9,Millionares Shortbread,10409,Shortbread covered in toffee and chocolate. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F934214.jpg,8,436.4,3,4.3,47.3,1.4,33.9,27.4,16.9,0.0174,0.0015,0.005,0.054700000000000006,0.048600000000000004,"½ cup unsalted butter, softened #⅓ cup confectioners' sugar #¼ teaspoon vanilla extract #1 cup all-purpose flour #⅞ cup granulated sugar #1 dash cream of tartar #½ cup heavy cream #4 tablespoons butter #4 (1 ounce) squares semisweet chocolate #½ teaspoon vanilla extract ",0.06609999999999999
10,Divinity Cookies,10410,"An easy to make, delicate cookie...nice for wedding receptions. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6142348.jpg,48,90.7,16,3.9,8.5,0.3,4.3,6.0,1.3,0.0038,0.0003,0.0050999999999999995,0.0282,0.0148,2 cups sifted all-purpose flour #1 teaspoon cream of tartar #½ teaspoon baking soda #1 cup white sugar #1 cup shortening #1 egg #1 teaspoon vanilla extract #1 cup chopped walnuts ,0.0039
11,Welsh Tea Cakes,10411,Raisin cookie with a spice taste. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4358294.jpg,24,109.7,15,3.9,16.8,0.4,8.2,4.2,2.6,0.0197,0.0006,0.004,0.0419,0.07629999999999999,2 cups all-purpose flour #¾ cup white sugar #1 teaspoon baking powder #½ cup butter #½ cup raisins #¼ cup milk #1 egg #¼ teaspoon salt #½ teaspoon ground nutmeg ,0.0181
12,Welsh Cookies,10412,"Just plain delicious, not overly sweet. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5171891.jpg,8,340.7,25,4.6,52.1,1.5,27.4,13.3,5.6,0.0942,0.002,0.0126,0.1359,0.19540000000000002,2 cups all-purpose flour #2 teaspoons baking powder #1 pinch salt #½ cup white sugar #¼ cup butter #¼ cup shortening #½ cup dried currants #1 egg #¼ cup milk #⅓ cup granulated sugar for decoration ,0.0391
13,Easy Valentine Sandwich Cookies,10413,This recipe makes seventeen 3-inch sandwich cookies and seventeen 1 ½-inch heart-shaped cookies. You'll need a 3-inch heart-shaped cutter and a 1 ½-inch heart-shaped cutter. Frost with Pink Valentine Frosting (see recipe). ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1101763.jpg,17,237.9,131,4.6,32.1,0.5,0.0,11.3,7.0,0.0078,0.0009,0.0047,0.0567,0.2702,1 cup butter #1 ½ cups confectioners' sugar #1 large egg #1 teaspoon vanilla extract #½ teaspoon almond extract (Optional)#2 ½ cups all-purpose flour #1 teaspoon baking soda #1 teaspoon cream of tartar ,0.039700000000000006
14,Pink Valentine Frosting,10414,Frosting for Easy Valentine Sandwich Cookies (see recipe). ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1131168.jpg,16,30.9,21,3.0,7.8,0.0,7.7,0.0,0.0,0.0001,0.0,0.0,0.0004,0.0365,1 cup sifted confectioners' sugar #¼ teaspoon salt #½ teaspoon vanilla extract #1 tablespoon water #2 drops red food coloring ,0.0
15,Lollipop Cookie Valentines,10415,"Every year 18 of us get together for our annual 'Heart Party' in honor of Valentine's Day. Besides sharing a favorite craft, we bring 18 cookies and share a favorite recipe. This was mine from last year. The recipe is written using white chocolate, but you can use dark chocolate instead, or use half white and half dark. I like to decorate mine with candy sprinkles too. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7809825.jpg,6,837.7,16,4.2,111.2,3.0,75.9,41.0,24.7,0.1926,0.0032,0.0455,0.22769999999999999,0.2928,"12 craft sticks #½ cup semisweet chocolate chips #½ cup butter, softened #⅓ cup packed light brown sugar #½ teaspoon vanilla extract #1 egg #2 cups all-purpose flour #¼ cup unsweetened cocoa powder #¼ teaspoon salt #12 (1 ounce) squares white chocolate #1 egg white #1 ¼ cups confectioners' sugar #3 drops red food coloring ",0.0835
16,Chocolate Cut Out Cookies,10416,"A great cookie for cutouts that are brown in color: footballs, animals, leaves, etc. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F609282.jpg,36,136.5,80,4.1,20.0,0.7,11.2,5.8,3.5,0.0146,0.0008,0.0101,0.0567,0.0562,1 cup butter #2 cups white sugar #3 eggs #3 teaspoons vanilla extract #3 cups all-purpose flour #1 teaspoon baking powder #10 tablespoons unsweetened cocoa powder ,0.0291
17,Chocolate Drop Cookies I,10417,A delicious moist cookie with creamy Chocolate Icing. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F583083.jpg,24,202.4,10,4.1,31.4,1.1,21.8,8.2,4.2,0.0288,0.0012,0.022,0.0901,0.0711,"½ cup butter, softened #1 cup packed light brown sugar #1 egg #1 teaspoon vanilla extract #½ teaspoon baking soda #2 cups sifted all-purpose flour #¾ cup milk #2 (1 ounce) squares unsweetened chocolate, melted #½ cup chopped black walnuts #2 ½ cups confectioners' sugar #¼ cup unsweetened cocoa powder #2 tablespoons butter, softened #½ teaspoon vanilla extract #4 tablespoons milk ",0.0213
18,Black Walnut Cookies I,10418,My grandmother make these cookies. They are my family's favorite. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F775409.jpg,18,256.6,13,4.3,23.7,1.1,12.1,16.8,6.9,0.0381,0.0011,0.0258,0.0927,0.1425,1 cup butter #1 cup packed dark brown sugar #1 egg #½ teaspoon baking soda #1 teaspoon maple flavored extract #2 cups all-purpose flour #1 teaspoon baking powder #1 ½ cups chopped black walnuts ,0.037399999999999996
19,Quick Peanut Butter Cookies,10419,"I had to make cookies at the last minute for a school function and a friend gave me this quick and easy recipe. From start to finish, this only takes about 30-45 minutes and the taste is like you spent hours in the kitchen. You might want to make a double batch, because they will be gone before you know it. ENJOY!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5801955.jpg,36,65.6,416,4.3,7.0,0.4,6.2,3.7,0.8,0.0039,0.0002,0.0112,0.0485,0.0698,1 cup peanut butter #1 cup white sugar #1 egg #1 teaspoon baking soda ,0.0052
20,Mexican Sugar Cookies,10420,Cut-out cookies rolled in sugar and cinnamon. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4053376.jpg,12,754.7,33,4.1,83.6,2.6,34.0,44.2,11.0,0.1008,0.0034,0.017,0.1611,0.2322,"2 ½ cups shortening #1 cup white sugar #1 teaspoon anise seed, ground #2 eggs #6 cups all-purpose flour #1 tablespoon baking powder #½ tablespoon cream of tartar #½ teaspoon salt #¼ cup orange juice #3 tablespoons ground cinnamon #1 cup white sugar ",0.031
21,Two Hearts Together,10421,My husband and I love to bake in the kitchen together. We made these cookies for Valentine's Day a few years back. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F622606.jpg,36,154.3,2,3.0,18.3,0.2,11.5,8.3,5.2,0.038299999999999994,0.0004,0.005,0.056600000000000004,0.0928,"1 cup butter, softened #1 cup white sugar #1 (3 ounce) package cream cheese, softened #1 egg, separated #1 teaspoon almond extract #½ teaspoon salt #2 cups all-purpose flour #1 (14 ounce) can sweetened condensed milk #½ cup heavy whipping cream #¼ cup pink decorator sugar ",0.0296
