,name,id,calories,sugars,fat,saturated fat,sodium
0,Banana Beer Bread,7200,246,27.0,6.6,0.8,0.2142
1,Lemon Poppy Seed Amish Friendship Bread,7201,157,9.3,5.6,0.8,0.2223
2,Yummy Peanut Butter Bread,7202,184,5.5,4.2,0.7,0.22080000000000002
3,Crunchy Honey Wheat Bread,7203,199,5.5,4.2,0.6,0.29369999999999996
4,Paximade,7204,213,8.9,9.0,5.3,0.1956
5,Cuban Water Bread,7205,158,0.6,0.6,0.1,0.2918
6,Southern Biscuits with Mayonnaise,7206,124,0.7,5.4,0.8,0.2985
7,Granny's Oatmeal Bread,7207,151,6.8,1.4,0.3,0.2395
8,Nana's Fastnachts,7208,107,3.8,4.2,0.7,0.0741
9,Kalamata Olive and Garlic Bread,7209,200,1.2,4.5,0.6,0.6441
10,Broccoli Cornbread,7210,136,0.9,6.0,1.6,0.4387
11,Cheese Herb Bread,7211,163,2.9,2.9,1.5,0.3322
12,Deluxe Waffles,7212,410,9.0,22.7,4.1,0.6952999999999999
13,Mocha Java Bread,7213,155,3.4,4.5,1.5,0.2577
14,Pear Bread I,7214,279,22.0,13.1,1.7,0.19640000000000002
15,Pumpkin Yeast Bread,7215,67,6.2,3.9,0.7,0.2288
16,Sweet Corn Cake,7216,273,12.5,18.1,11.0,0.25689999999999996
17,Pepperoni Pizza Bread,7217,94,3.3,6.8,3.0,0.5122000000000001
18,Rye Starter,7218,351,0.2,1.6,0.1,0.0019
19,Wild Grape Starter,7219,729,76.6,4.9,1.2,0.015099999999999999
20,Muesli-Applesauce Muffins,7220,236,22.6,7.2,1.0,0.2209
21,Orange Spice Muffins,7221,524,54.0,10.4,2.0,1.509
22,Double Quick Dinner Rolls,7222,126,2.3,3.0,0.5,0.2022
23,Banana Chocolate Chip Muffins,7223,303,16.0,17.3,3.7,0.1285
24,Pan de Muertos (Mexican Bread of the Dead),7224,208,11.3,5.1,1.0,0.1556
25,Cracked Wheat Sourdough Bread,7225,200,3.5,3.9,0.5,0.0358
26,Sourdough Buckwheat Pancakes,7226,457,13.4,7.9,1.4,0.8029
27,Chocolate Chip Sourdough Muffins,7227,245,17.6,7.3,3.1,0.21
28,Delightful Apple Spice Muffins,7228,142,10.0,6.4,1.2,0.1754
29,Skiers' French Toast,7229,444,33.1,17.4,9.2,0.6144
30,Pumpkin Chip Bread,7230,169,14.3,8.2,2.0,0.1212
31,Granny's Corn Flour Tortillas,7231,113,0.1,0.7,0.1,0.2323
32,Tangy Buttermilk Cheese Bread,7232,47,1.7,3.1,1.9,0.36860000000000004
33,Corn Yeast Rolls,7233,292,4.4,7.8,1.5,0.3411
34,Grandma Emma's Spice Loaf,7234,290,22.4,12.9,2.8,0.2166
35,Portuguese Sweet Bread II,7235,42,5.3,1.5,0.5,0.1385
36,Challah in a Hurry,7236,91,5.2,7.2,1.3,0.1574
37,Jam Muffins,7237,236,22.0,5.5,0.9,0.2398
38,Popovers,7238,120,2.1,2.7,1.1,0.2342
39,Rum Raisin Bread,7239,164,5.7,3.4,1.5,0.2523
40,Pseudo Sourdough for the Bread Machine,7240,74,2.2,4.3,2.0,0.2271
41,Apple Cheddar Bread,7241,255,12.9,13.4,3.0,0.3954
