,name,id,calories,fat,sodium,sugars,saturated fat
0,Chile for Tamales,31109,9,0.1,0.3895,0.0,0.0
1,Sweet and Sour Pork III,31144,663,35.0,1.0854000000000001,52.3,6.8
2,Irish Egg Rolls,31147,286,18.0,0.42260000000000003,1.5,2.6
