,name,id,calories,sugars,fat,saturated fat,sodium
0,Basic Rye Bread,6800,159,5.3,1.6,0.2,0.1978
1,Oat-N-Honey Bread,6801,200,4.8,4.3,0.8,0.3837
2,Mexican Style Cornbread,6802,193,2.4,10.8,4.0,0.3875
3,Donna's Chocolate Zucchini Bread,6803,260,17.3,14.2,2.4,0.16519999999999999
4,Olive Bread,6804,186,0.3,3.6,0.5,0.38389999999999996
5,Easy Blueberry Muffins I,6805,182,10.0,7.1,1.2,0.0959
6,Calzone,6806,285,2.9,11.1,5.1,0.6235
7,Uncle Wynn's Bread Machine Rye,6807,198,4.6,3.3,0.4,0.19690000000000002
8,Beer Bread II,6808,202,2.3,7.6,4.7,0.5014
9,Garden Herb Loaf,6809,140,2.4,3.6,2.1,0.2031
10,Apricot Walnut Loaf,6810,93,10.4,2.3,0.4,0.2518
11,Panettone I,6811,210,7.5,2.3,1.0,0.07640000000000001
12,Potato Rosemary Rolls,6812,155,1.9,3.3,0.5,0.5293
13,White Bread For The Bread Machine,6813,168,3.2,4.0,0.5,0.2923
14,Valentino's Pizza Crust,6814,131,1.1,3.7,0.5,0.1953
15,Monkey Bread,6815,378,0.0,15.2,3.4,0.7456
16,Italian Bread II,6816,147,1.1,2.8,0.5,0.2979
17,New York Rye Bread,6817,90,4.3,1.8,0.2,0.208
18,Sweet Honey French Bread,6818,101,2.8,1.2,0.2,0.13
19,Pineapple Tangerine Bread,6819,249,19.3,6.5,3.5,0.4121
20,Downeast Maine Pumpkin Bread,6820,263,25.7,10.3,1.5,0.3054
21,Peppy's Pita Bread,6821,191,0.9,2.2,0.3,0.293
22,Pineapple Zucchini Bread,6822,292,25.8,11.9,1.9,0.2739
23,Walnut Raisin Scones,6823,207,7.6,11.7,4.7,0.2615
24,Pumpkin Nut Muffins,6824,123,9.5,4.8,2.0,0.1153
25,Mennonite Orange Muffins,6825,243,14.1,11.9,6.0,0.3762
26,Yogurt Cornbread,6826,58,2.2,1.5,0.4,0.1999
27,Cheddar Muffins,6827,189,5.9,8.0,4.8,0.4373
28,Bagels I,6828,204,4.3,2.3,0.4,0.7002
29,Tortillas I,6829,42,0.0,0.5,0.1,0.026199999999999998
30,Whole Wheat Banana Strawberry Loaf,6830,308,29.4,12.8,1.8,0.118
31,Buttermilk White Bread,6831,34,5.4,1.0,0.2,0.3128
32,Carolyn's Orange Rolls,6832,155,6.8,7.8,4.8,0.1559
33,Burger or Hot Dog Buns,6833,230,3.2,5.1,2.9,0.3336
34,Orange Juice Muffins with Honey Spread,6834,206,17.8,8.2,1.5,0.479
35,Seminole Pumpkin Bread,6835,66,2.7,2.0,0.3,0.0885
36,Quick Sticky Buns,6836,151,11.6,6.6,1.3,0.2615
37,Garlic Cheese Biscuits,6837,153,1.8,7.1,4.3,0.5362
38,Poppy Seed Bread III,6838,268,26.1,11.6,1.8,0.1913
39,Sweeter Muffins,6839,141,8.9,5.4,0.9,0.1885
40,Pumpkin Bread III,6840,167,17.0,6.8,1.0,0.1913
41,Whole Wheat Zucchini Herb Bread,6841,153,1.5,2.3,0.3,0.2349
42,Chinky's Bibingka,6842,619,44.2,33.2,26.3,0.3431
