,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Chocolate Sandwich Cookies I,10000,"Excellent frozen. I have played with this over the years, and come up with several variations. At the holidays, I have added 1 teaspoon peppermint extract to the filling in lieu of the vanilla, and have also used crushed peppermint candy in the filling. I have also dipped them in chocolate, and coated them in confectioners' sugar. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F315643.jpg,12,599.7,38,3.8,86.6,2.6,54.1,26.9,11.6,0.064,0.1253,0.0025,0.039200000000000006,0.1812,0.413,"3 cups all-purpose flour #1 ½ cups white sugar #¾ cup unsweetened cocoa powder #¾ teaspoon salt #3 teaspoons baking powder #1 ½ cups milk #2 eggs #1 ½ teaspoons vanilla extract #¾ cup shortening #¾ cup butter, softened #2 cups confectioners' sugar #⅛ teaspoon salt #1 (7 ounce) jar marshmallow creme #1 ½ teaspoons vanilla extract #1 tablespoon milk "
1,Chocolate Pizzelles,10001,"These are thin waferlike cookies and you must have a pizzelle iron to make them. The Italians call them ""Pizzelle Alle Nocciole"". ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F533212.jpg,12,357.6,13,4.3,35.5,2.0,17.2,22.6,10.8,0.1027,0.0968,0.0021000000000000003,0.0296,0.1525,0.1965,4 eggs #¼ cup cocoa powder #1 cup white sugar #½ teaspoon ground cinnamon #¼ teaspoon salt #1 tablespoon baking powder #1 cup unsalted butter #¾ cup ground hazelnuts #2 cups all-purpose flour 
2,Peter Pan Cookies,10002,Great for after school snacks. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6311.jpg,30,200,6,3.9,21.9,0.7,14.6,11.6,2.7,0.0124,0.0135,0.0007,0.0162,0.0799,0.1273,½ teaspoon salt #1 cup peanut butter #1 cup white sugar #1 cup packed brown sugar #2 eggs #1 tablespoon milk #2 cups sifted all-purpose flour #1 teaspoon baking soda #1 cup shortening 
3,Cookie Press Shortbread,10003,This is my mothers recipe and what I use in my Cookie Press/Shooter. It makes delectable little morsels! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5993253.jpg,24,116.3,154,4.0,10.9,0.2,2.5,7.8,4.9,0.020300000000000002,0.0035,0.0004,0.002,0.0108,0.0549,1 cup butter #1 ½ cups all-purpose flour #½ cup confectioners' sugar #¼ teaspoon vanilla extract #½ cup cornstarch 
4,Pavlova,10004,My grandmother's recipe from New Zealand for the famous Pavlova. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3741397.jpg,8,108.1,19,4.7,26.0,0.0,25.2,0.0,0.0,0.0,0.0011,0.0,0.0015,0.0213,0.0213,3 egg whites #1 teaspoon distilled white vinegar #3 tablespoons cold water #1 teaspoon vanilla extract #1 cup super fine sugar #3 teaspoons cornstarch 
5,Nana Smith's Oatmeal Biscuits,10005,"Old-style English oatmeal cookies, more like a bar, very popular in the 1950's, at least in our house. ",0,6,351.8,5,3.0,42.4,2.5,16.9,18.7,10.2,0.0407,0.1276,0.0022,0.039299999999999995,0.1014,0.37489999999999996,1 cup self-rising flour #1 cup rolled oats #½ cup white sugar #½ cup butter #1 ounce toasted sesame seeds (Optional)
6,Starr's Soft Sugar Cookies,10006,"Old and young alike love these big, moist cookies, they are good ""keepers"". They stay soft for days if properly stored in an air-tight container. I think the buttermilk is the key ingredient. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6144397.jpg,24,236.9,8,3.6,37.2,0.6,22.4,8.8,3.7,0.0261,0.05,0.0011,0.0079,0.09820000000000001,0.1998,"1 cup white sugar #1 cup packed brown sugar #½ cup butter, softened #½ cup shortening #2 eggs #1 teaspoon vanilla extract #½ teaspoon lemon extract #1 teaspoon ground nutmeg #3 ½ cups sifted all-purpose flour #2 teaspoons baking powder #1 teaspoon cream of tartar #¾ teaspoon salt #¾ teaspoon baking soda #1 cup buttermilk #⅓ cup white sugar #½ cup raisins "
7,Evelyn's Cornflake Cookies,10007,I got this recipe from my ex mother-in-law in the late 6O's. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F397118.jpg,12,195.6,8,3.9,24.6,0.5,8.9,10.3,6.4,0.0281,0.0343,0.002,0.0045,0.0427,0.1986,3 ounces cream cheese #½ cup butter #½ cup white sugar #1 cup all-purpose flour #1 teaspoon baking powder #¼ teaspoon salt #¼ teaspoon almond extract #2 cups crushed cornflakes cereal #24 maraschino cherries 
8,Praline Cookies,10008,"This recipe makes a good cookie, but rather rich! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F316717.jpg,12,259.8,5,3.5,29.2,1.4,12.4,14.8,5.6,0.0358,0.0241,0.0014,0.0173,0.0841,0.1651,½ cup butter #⅔ cup packed brown sugar #1 egg #1 teaspoon vanilla extract #½ teaspoon maple flavored extract #½ teaspoon baking soda #¼ teaspoon salt #2 cups all-purpose flour #1 cup pecan halves 
9,Brown Sugar Frosting,10009,Great on Praline Cookies (see recipe) ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F6128e771d739a27d1a1292a5625659d4%2F4579403.jpg,16,58.9,15,3.5,15.2,0.0,14.4,0.0,0.0,0.0,0.006,0.0001,0.0007,0.009300000000000001,0.0028,½ cup packed dark brown sugar #1 tablespoon white corn syrup #2 tablespoons water #1 cup confectioners' sugar 
