,name,id,calories,sugars,fat,saturated fat,sodium
0,Moose River Hummers,32301,142,9.1,0.1,0.0,0.0017
1,Chi Chi,32302,330,38.7,5.9,5.4,0.0228
2,Chandra Chai Moon Tea,32305,77,15.4,1.0,0.6,0.0219
3,Green Apple Martini,32307,336,36.2,0.2,0.0,0.004200000000000001
4,Party Punch VI,32308,146,27.7,0.0,0.0,0.0515
5,Chocolate Martini a la Laren,32310,420,36.0,4.7,2.5,0.0050999999999999995
6,Blue Angel,32314,212,12.2,1.9,1.1,0.0089
7,Chocolate Coffee Kiss,32315,423,59.1,2.2,1.2,0.0582
8,Banana Colada,32318,327,30.0,5.8,5.4,0.0181
9,Cherry Limeade I,32326,276,43.7,0.0,0.0,0.0193
10,Party Punch VIII,32330,113,25.7,0.0,0.0,0.013800000000000002
11,Mock Champagne,32333,83,19.4,0.1,0.0,0.0141
12,Groovie Smoothie,32334,258,35.7,3.6,2.2,0.1149
13,Super Spicy Chocolate Milk,32348,260,43.3,3.9,2.5,0.1701
14,Caribbean Rum Punch,32349,166,4.4,0.1,0.0,0.0018
15,Orange Slush,32351,461,98.6,3.8,2.3,0.08159999999999999
16,Best Strawberry Daiquiri,32352,110,13.6,0.0,0.0,0.0065
17,Lemonade,32355,86,20.8,0.0,0.0,0.006
18,Lime Cola,32357,299,73.9,0.0,0.0,0.015
19,Orange Dream Punch,32364,34,8.3,0.0,0.0,0.008199999999999999
20,Iced Tea III,32370,49,12.4,0.0,0.0,0.0076
21,Fruit Punch,32372,43,9.5,0.0,0.0,0.016399999999999998
22,Berry Surprise,32373,166,35.7,0.5,0.0,0.0021000000000000003
23,Best Lemonade Ever,32385,145,35.8,0.0,0.0,0.0060999999999999995
24,Banana Slush Punch,32389,104,24.0,0.1,0.0,0.0087
25,Fruit Fizzies,32392,77,18.8,0.1,0.0,0.6331
