,name,id,calories,sugars,fat,saturated fat,sodium
0,Simmer Family Turkey Stuffing,26500,220,3.6,11.3,2.4,0.4081
1,Curried Vegetables,26508,203,3.2,8.9,1.3,0.4853
2,Greek Salad Tacos,26513,167,6.6,5.5,1.1,0.542
3,Green Chile Quesadillas,26514,261,1.3,14.0,7.8,0.4245
4,Old Fashioned Scalloped Tomatoes,26517,163,3.3,10.2,5.8,0.44880000000000003
5,Roasted Veggie Tacos,26520,411,3.8,21.9,6.9,1.0584
6,Shoepeg Corn Casserole,26521,277,3.7,20.6,10.9,0.674
7,Tofu Tacos II,26523,284,4.7,7.9,1.7,1.2289
8,Vegetarian Fajitas,26526,164,3.8,4.2,0.9,0.7777999999999999
9,Veggie Quesadillas,26528,327,1.3,17.9,7.5,0.5076
10,Zesty Vegetable Enchiladas,26530,549,4.4,14.0,4.2,0.8922
11,Artichoke Salad II,26533,123,4.0,5.1,3.0,0.9532
12,Authentic Thousand Island Dressing,26534,436,5.4,45.2,6.9,0.49939999999999996
13,Beet and Balsamic Vinaigrette Salad,26535,283,7.9,23.3,6.0,0.9369
14,Best Ever Pasta Salad with Chicken,26536,523,1.2,42.9,12.6,0.668
15,Best Peanut Dressing,26537,221,12.6,17.4,5.9,0.1221
16,Black Bean and Jicama Salad with Cumin Vinaigrette,26538,137,2.5,10.5,1.5,0.5681
17,Sesame Broccoli Salad,26540,78,2.6,4.8,0.7,0.2538
18,Cantaloupe Salad,26542,389,30.6,21.2,4.3,0.6636
19,Grecian Lamb Caesar Salad,26546,346,2.0,23.1,9.0,0.6068
20,Marinated Vegetable Salad,26549,189,2.4,9.9,1.4,0.30369999999999997
21,Roasted Pepper Salad with Salsa Vinaigrette,26554,148,6.8,9.5,1.3,0.5462
22,Turkey Club Salad with Hot Bacon Dressing,26555,515,4.8,33.6,11.1,0.6364
23,Twenty Four Hour Fruit Salad,26556,251,29.2,10.4,6.1,0.0523
24,Oven BBQ,26581,596,25.9,28.7,8.0,0.809
25,Atomic Canuck Chili,26582,420,20.4,12.5,4.6,0.9673999999999999
26,Awesome Roast Beef,26583,308,0.6,16.1,5.4,0.6584
27,Beef Enchiladas II,26589,448,1.8,21.1,9.5,1.2737
28,Beef Tip Salad Topping,26590,607,2.1,51.5,13.4,0.29769999999999996
29,Best Beef and Broccoli,26591,240,4.6,12.2,3.5,1.1787999999999998
30,Bronco Burger,26592,682,0.8,40.3,16.7,0.9556
31,Cajun Appetizer Meatballs,26593,504,35.5,25.4,10.0,1.2715999999999998
32,Chateaubriand,26595,711,0.0,50.1,19.1,0.2072
33,Sweet and Spicy Cocktail Meatballs,26597,727,66.1,31.5,10.4,0.7587999999999999
34,Divine Meatloaf,26598,254,13.1,9.8,3.2,1.0475999999999999
35,El Dorado Beef Casserole,26599,434,4.1,30.4,13.4,1.3423
