,name,id,calories,sugars,fat,saturated fat,sodium
0,Basic Gingersnap Cookies,25800,176,11.1,5.6,3.4,0.14730000000000001
1,Caramel Cookies,25801,211,18.0,7.8,2.9,0.1163
2,Special Cookies,25802,154,9.2,8.2,4.1,0.1333
3,Carrot Cake Cookies,25803,106,7.4,5.1,1.9,0.0853
4,Chewy Cereal Cookies,25804,29,4.9,0.5,0.4,0.016
5,Churros II,25805,134,2.2,11.7,1.8,0.0772
6,Corn Flake Cookies II,25806,122,9.2,6.4,1.3,0.0906
7,Chocolate Zucchini Cookies,25807,59,3.7,2.5,0.6,0.053
8,Chocolate Truffle Cookies,25808,112,10.7,6.8,4.0,0.04
9,Clothespin Cookies III,25809,152,7.6,8.2,4.6,0.1098
10,Lebkuchen V,25810,49,4.9,0.6,0.1,0.0092
11,Lebkuchen VI,25811,61,8.7,0.5,0.1,0.0147
12,Easiest Cracker Cookies,25812,93,15.2,1.6,0.2,0.0364
13,Cookies for Rookies,25813,104,6.9,5.0,2.1,0.09809999999999999
14,Australian Federation Biscuits,25814,93,6.9,4.2,1.8,0.0334
15,Good Cookies II,25815,190,12.9,9.0,4.2,0.21619999999999998
16,Walnut Cups,25816,120,6.0,8.2,3.8,0.045899999999999996
17,White Brownies,25817,96,12.2,3.1,1.5,0.1026
18,Wonderful Almond Fingers,25818,72,4.8,4.5,2.7,0.020300000000000002
19,Wreath Cookies,25819,188,7.4,12.9,5.5,0.061
20,Vanilla Half-Moons,25820,49,4.5,2.4,1.2,0.0125
21,Choconut Macaroons,25821,62,6.9,3.0,2.0,0.0217
22,Thick Wandies,25822,77,3.6,3.0,0.9,0.0557
23,Marshmallow Squares,25823,89,8.6,3.9,2.4,0.045
24,Throw Together Brownies,25824,170,2.6,7.8,1.6,0.0834
25,The Absolute Best Cookie Recipe Ever,25825,175,8.4,9.3,2.4,0.0616
26,Cry Babies II,25826,162,15.9,5.7,3.4,0.1166
27,German Lebkuchen,25827,120,14.6,1.1,0.1,0.0241
28,Oil Cookies,25828,89,3.8,3.7,0.7,0.0368
29,Spring-Cleaning Cookies,25829,144,10.8,8.2,3.4,0.0813
30,Little Nut Cups,25830,183,12.8,11.7,4.9,0.0578
31,Pumpkin Spice Cookie,25831,98,10.2,2.7,1.0,0.18780000000000002
32,Cream Cheese Squares,25832,213,11.8,14.2,5.8,0.24580000000000002
33,Jacinto's,25833,294,16.0,19.3,9.0,0.1429
34,Flying Saucers,25834,124,10.5,6.9,2.1,0.09509999999999999
35,Grandmas Cowboy Cookies,25835,235,16.0,14.9,4.6,0.1177
36,Chewy Oatmeal Cherry Toffee Crisps,25836,181,11.7,9.4,5.5,0.0725
37,Kitchen Sink Cookies,25837,142,9.7,7.1,3.8,0.0965
38,Jen's Almond Cardamom Cookies,25838,93,5.6,4.7,2.8,0.0513
39,Frosted Molasses Ginger Sandwich Cookies,25839,262,25.1,8.4,1.5,0.2422
40,Chocolate Thumbprint Cookies,25840,155,10.8,9.5,4.1,0.0628
