,name,id,calories,sugars,fat,saturated fat,sodium
0,Grape Sherbet,38711,203,31.5,7.6,4.7,0.0347
1,Sticky Sweet Sausage Kabobs,38726,193,12.1,9.6,3.5,0.5285
2,Italian Beef in a Bucket,38729,301,1.5,19.2,7.6,1.2401
3,Cheddar and Olive Balls,38734,83,0.0,6.2,3.4,0.18130000000000002
4,Mom's Marinated Vegetables,38754,154,21.5,5.1,0.8,0.2432
5,Pakorae,38760,158,3.9,7.7,0.8,0.29819999999999997
6,Chinese Style Stuffed Mushrooms,38762,142,1.6,8.5,3.1,0.4032
7,Garlic Mustard Ham Slice,38770,403,2.0,29.4,10.6,2.1191999999999998
8,Baked Pork Chops II,38771,423,9.5,23.2,6.0,0.749
9,Golden Coconut Almond Muffins,38783,206,11.2,10.9,5.1,0.1657
