,name,id,calories,sugars,fat,saturated fat,sodium
0,Pittsburgh Chipped Ham Barbecues,34510,327,14.6,10.5,3.2,1.8582
1,Real Homemade Tamales,34512,236,0.4,16.6,6.9,0.4014
2,Somerset Pork with Cream and Apples,34513,410,14.2,23.6,12.7,0.14809999999999998
3,Glazed Ham,34523,512,20.8,20.7,6.8,0.15830000000000002
4,Baked Ham,34524,635,11.9,40.2,14.3,2.8476
5,Raisin Sauce for Ham II,34529,60,5.9,0.1,0.0,0.0038
6,Stuffed Ribs,34530,935,4.0,61.2,22.4,1.4387999999999999
7,Pork Tenderloin Marinade,34531,38,1.3,2.7,0.4,0.9976
8,Marinated Pork Roast with Currant Sauce,34534,669,29.0,25.8,8.4,1.6451
9,Southwest Chicken Salad I,34546,408,2.1,23.7,5.0,0.3975
10,Cold Rice Salad,34577,300,3.0,11.1,2.1,0.44789999999999996
11,French Cafe Summer Salad,34579,508,8.1,9.8,2.4,0.3227
12,Orange Caper Chicken,34585,285,7.1,8.2,2.8,0.3555
13,Honey Poppy Seed Dressing,34587,205,17.6,15.2,2.3,0.0034
14,Spinach and Chicken Salad,34588,320,6.7,11.9,5.2,0.7273
15,Coconut Chutney,34591,121,3.5,10.4,7.8,0.0173
