,name,id,calories,sugars,fat,saturated fat,sodium
0,Pineapple-Banana Coffee Cake,23200,309,34.0,10.4,3.0,0.273
1,Crawfish Fettuccine II,23201,668,3.4,30.7,17.8,0.9231
2,Frozen Peanut Butter Cheesecake,23202,641,40.8,42.4,21.0,0.4375
3,Lemon Velvet Butter Sauce,23203,214,0.2,22.7,14.1,0.16440000000000002
4,French Herb Wine Butter,23204,104,0.0,11.5,7.2,0.1175
5,Gingered Fruit Dip,23205,37,2.2,2.9,1.7,0.0076
6,Blueberry Dream Pie,23206,456,41.5,23.5,14.3,0.17930000000000001
7,Pumpkin-Cream Cheese Pie,23207,498,33.1,29.9,13.9,0.4007
8,Magician's Bunny Cake,23209,495,62.8,20.1,6.0,0.3075
9,Wild Blueberry Muffin Tops,23210,87,6.8,2.9,0.6,0.1031
10,Dad's Excellent Scallops,23211,354,0.0,21.5,10.8,0.9575
11,Salted Nut Bars,23212,152,8.5,9.3,3.8,0.1333
12,Honey-Walnut Pound Cakes,23213,214,24.0,11.5,4.3,0.1153
13,Caramel Apple Cake from Betty's Kitchen®,23214,348,55.2,5.0,1.5,0.3944
14,Darn Good Chili,23215,384,13.9,18.1,6.7,0.9643999999999999
15,Mystery Pork Casserole,23216,552,17.7,18.4,8.0,4.9882
16,Festive Tortilla Squares,23217,53,0.1,3.5,1.8,0.1173
17,Scandinavian Almond Puff,23219,218,7.6,14.1,8.0,0.1385
18,Greek Mussels,23220,201,4.7,9.1,3.0,0.1465
19,BBQ Country-Style Ribs,23221,625,26.3,30.7,10.8,1.2282
20,Plum Pudding Sauce,23222,279,43.5,9.0,2.8,0.12969999999999998
21,Crunchy Taco Mix,23223,57,0.9,3.0,1.8,0.18009999999999998
22,Microwave Pralines,23224,87,9.1,5.4,1.4,0.0192
23,Chile Pork,23227,117,0.1,3.6,1.1,0.2969
24,Famous Peanut Caramel Candy Bars,23229,253,33.2,10.5,4.3,0.0751
25,Win's Shrimp and Spaghetti,23230,606,2.0,34.1,20.2,0.8777
26,Baked Cranberry Almond Brie,23231,257,1.9,19.2,11.2,0.2789
27,Never-Fail Fudge,23232,283,40.0,12.9,4.6,0.0927
28,Holiday Pepper Cheese Dip,23233,41,0.4,2.9,1.4,0.0404
29,Tomato Cheese Baguettes,23234,97,0.9,4.3,1.5,0.2189
30,Roasted Red Pepper Oil,23235,121,0.0,13.5,1.9,0.1201
31,Toscana Soup,23236,271,2.7,21.7,7.6,1.2164000000000001
32,Cheddar and Bacon Log,23237,85,0.4,7.2,2.5,0.1003
33,Blue Cheese Appetizer Tart,23238,169,0.2,12.9,7.6,0.1855
34,Basil Tomato Pork Chops,23239,180,3.5,9.3,4.1,0.5496
35,Honey Dijon Pasta and Ham,23240,445,12.3,16.9,7.9,1.0865
36,Spicy Pizza Soup,23241,766,8.5,54.7,20.3,2.2853000000000003
37,Molasses-Pepper Glazed Chicken and Squash,23242,351,14.7,11.4,4.4,1.315
38,Pasta Shrimp Toss,23243,368,3.9,18.6,10.9,0.7235
39,Chicken and Peppers,23244,252,1.4,7.8,4.1,0.3936
40,Mexican Chicken Soup,23245,315,3.4,16.4,5.5,1.3678
41,Hungarian Goulash,23246,353,14.8,15.4,6.0,1.3459
42,Strawberry Fruit Dip,23247,79,7.5,3.5,2.0,0.062299999999999994
43,Sage Roasted Pork Tenderloin and Beans,23248,308,1.5,4.9,1.4,0.48
44,Bahama-Mama Pork Chops,23249,273,16.5,9.9,2.9,0.6317
45,Stuffed and Baked Tomatoes,23250,364,7.0,2.0,0.3,0.3195
46,Head Cheese,23251,302,0.0,23.4,8.1,0.0673
47,Spiced Potatoes,23252,299,4.1,7.4,1.0,0.48219999999999996
48,Vegan Potatoes au Gratin,23253,322,6.0,2.6,0.4,0.3292
49,Spicy Pork Sausage,23254,492,0.3,46.6,16.5,0.7619
50,Great Hot Crab Dip,23255,146,0.8,13.3,4.9,0.15109999999999998
51,Black Halloween Punch,23256,59,15.2,0.0,0.0,0.0087
52,Green Beans and Potatoes,23257,83,2.2,0.2,0.0,0.0993
53,Pumpkin Cake Extraordinaire,23258,290,9.4,17.6,3.1,0.31710000000000005
54,Oven Baked Vegetables,23259,98,5.8,0.2,0.0,0.224
55,Simple Hamburger Stroganoff,23260,735,3.9,42.0,19.8,1.1342999999999999
56,Starlight Mint Sandwich Cookies,23261,175,13.8,8.6,5.1,0.085
57,Sesame Broccoli,23262,67,1.5,4.7,0.7,0.016
58,Trim the Tree Butter Cookies,23263,178,18.3,8.2,4.9,0.1162
59,Couscous and Cucumber Salad,23264,142,1.2,3.6,0.5,0.22719999999999999
60,Tomato Basil Pasta,23265,414,5.2,23.4,8.1,0.4665
61,Raspberry Almond Shortbread Thumbprints,23266,95,8.4,4.4,2.7,0.0448
62,Almond Butter Cookies,23267,60,3.3,3.7,2.2,0.0442
63,Chocolate Walnut Fudge,23268,121,15.3,6.4,2.8,0.0245
64,Peppermint Meltaways,23269,80,5.7,4.4,2.7,0.0448
65,Candy Cane Cooler,23270,420,48.1,14.1,8.9,0.21109999999999998
