,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Hugs and Kisses Chocolate Cake,22401,Rich chocolate cake is covered with cocoa fudge frosting then garnished with chocolate candies. ,0,12,716,1,1.7,93.6,2.6,71.3,36.5,22.0,0.1149,0.0361,0.0024,0.0105,0.0768,0.4697,"1 ½ cups butter #1 ⅔ cups white sugar #2 large eggs eggs #1 teaspoon vanilla extract #2 cups all-purpose flour #¾ cup HERSHEY®'S Cocoa Powder #1 ¼ teaspoons baking soda #½ teaspoon salt #1 ⅓ cups water #½ cup butter #½ cup HERSHEY®'S Cocoa Powder #3 ⅔ cups confectioners' sugar #⅓ cup milk #1 teaspoon vanilla extract #15 piece, unwrappeds HERSHEY®'S KISSES® Milk Chocolates #15 piece (blank)s HERSHEY®'S HUGS® Chocolates "
1,Cranberry Pork Chops II,22402,Sweet cranberry pork chops simmered to perfection. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1604955.jpg,6,229,107,4.5,29.5,1.7,26.5,6.3,2.3,0.0371,0.014199999999999999,0.0006,0.011800000000000001,0.2341,0.4091,6 pork chops #2 cups fresh or frozen cranberries #¾ cup white sugar #1 teaspoon salt #¼ teaspoon ground black pepper # water as needed 
2,Chili con Carne II,22403,This Recipe can easily be multiplied and freezes well. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7925792.jpg,10,397,218,4.4,32.5,7.3,11.3,19.3,5.5,0.0615,0.1308,0.0056,0.0423,0.5893999999999999,0.9168,"5 tablespoons vegetable oil #2 large onions, chopped #1 chile pepper, chopped #5 cloves garlic, chopped #2 pounds lean ground beef #3 (14.5 ounce) cans whole peeled tomatoes with liquid, chopped #1 ½ teaspoons salt #1 teaspoon freshly ground black pepper #1 ½ tablespoons ground cumin #½ tablespoon chili powder #2 tablespoons paprika #2 tablespoons dried oregano #2 cinnamon sticks #6 whole cloves #2 (15.25 ounce) cans red kidney beans, rinsed and drained "
3,Hershey's® Chocolate Pie with Chocolate Petal Crust,22404,Homemade chocolate cookie dough is made into a crust and filled with a fluffy chocolate cream. Garnish with sweetened whipped cream and additional Mini Kisses. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F977211.jpg,8,590.6,10,4.8,68.8,1.5,46.0,32.4,20.1,0.1047,0.07859999999999999,0.0018,0.0086,0.0716,0.3368,½ cup butter #1 cup white sugar #1 egg #1 teaspoon vanilla extract #1 ¼ cups all-purpose flour #½ cup HERSHEY®'S Cocoa Powder #¾ teaspoon baking soda #¼ teaspoon salt #1 (8 ounce) package HERSHEY®'S MINI KISSES™ Milk Chocolate Baking Pieces #⅓ cup milk #1 ½ cups miniature marshmallows #1 cup heavy cream 
4,Brownie Bites with Magic Frosting,22406,Delicate chocolate treats are baked in tiny foil cups then filled with a peanut butter center for a double delicious treat. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F980895.jpg,36,150.6,2,4.0,19.1,0.8,14.2,7.0,2.7,0.0208,0.019100000000000002,0.0007,0.0017,0.0579,0.067,"¾ cup HERSHEY®'S Cocoa Powder #⅔ cup vegetable oil #2 cups white sugar #4 large eggs eggs #2 teaspoons vanilla extract #1 ¼ cups all-purpose flour #1 teaspoon baking powder #½ teaspoon salt #1 (10 ounce) package REESE'S® Peanut Butter Chips, divided "
5,Oat Bran Health Bread,22407,A tasty bread machine health bread enriched by the fiber and nutrition of oat bran and flax meal. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F734516.jpg,12,198.7,9,3.8,35.7,5.5,4.7,5.7,0.6,0.0,0.027,0.0023,0.0713,0.1998,0.1004,1 ½ cups water #2 ½ teaspoons active dry yeast #2 tablespoons canola oil #3 tablespoons honey #1 ½ cups oat bran #1 ½ cups whole wheat flour #1 ⅓ cups bread flour #½ cup flax seed meal #½ teaspoon salt 
6,Brownie Caramel Pecan Bars,22408,Irresistibly rich chocolate brownies with a gooey caramel topping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F978438.jpg,16,360.8,25,4.6,42.3,1.1,32.7,19.5,8.7,0.0375,0.0469,0.0013,0.0105,0.18180000000000002,0.13140000000000002,½ cup white sugar #2 tablespoons butter #2 tablespoons water #2 cups HERSHEY®'S Semi-Sweet Chocolate Chips #2 large eggs eggs #1 teaspoon vanilla extract #⅔ cup all-purpose flour #¼ teaspoon baking soda #¼ teaspoon salt #1 cup chopped pecans #25 piece (blank)s HERSHEY®'S Classic Caramels #¼ cup butter #2 tablespoons milk 
7,Buried Cherry Cookies,22409,"Each of these chocolate cookies are filled with a buried treasure of cherry, hidden by a spoonful of chocolate frosting. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F975942.jpg,42,98.1,16,4.4,15.2,0.3,9.1,3.7,2.2,0.0121,0.0189,0.0004,0.003,0.0431,0.0471,"⅔ cup sweetened condensed milk #½ cup HERSHEY®'S Semi-Sweet Chocolate Chips #½ cup butter #1 cup white sugar #1 egg #1 ½ teaspoons vanilla extract #1 ½ cups all-purpose flour #⅓ cup HERSHEY®'S Cocoa Powder #¼ teaspoon baking powder #¼ teaspoon baking soda #¼ teaspoon salt #1 (10 ounce) jar maraschino cherries, drained "
8,California Dream Bars,22410,Dreamy bars with a rich brown sugar crust and a chewy coconut and walnut topping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2588277.jpg,16,220.5,21,4.2,25.5,1.2,17.1,12.4,2.9,0.0233,0.032,0.0009,0.0181,0.0886,0.1394,"½ cup brown sugar #1 cup all-purpose flour #½ cup margarine, melted #1 teaspoon vanilla extract #1 cup brown sugar #2 tablespoons all-purpose flour #½ teaspoon baking powder #¼ teaspoon salt #2 eggs #1 teaspoon vanilla extract #1 cup chopped walnuts #1 cup flaked coconut #¼ cup confectioners' sugar for dusting "
9,Peanut Butter Chips and Jelly Bars,22411,A classic combination of peanut putter and jelly. Grape jelly in a sandwich between peanut butter cookie and peanut butter chips. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F979684.jpg,16,253.8,15,4.5,33.8,1.0,22.6,11.1,7.9,0.0272,0.0366,0.0008,0.0031,0.12029999999999999,0.1001,"1 ½ cups all-purpose flour #½ cup white sugar #¾ teaspoon baking powder #½ cup butter, chilled #1 egg, beaten #¾ cup grape jelly #1 (10 ounce) package REESE'S® Peanut Butter Chips "
