,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Swedish Angel Crisps,11500,This recipe came from my great grandmother's family who came from Sweden somewhere near the end of the last century. NOTE: You can also add 1/3 cup unsweetened cocoa to this recipe. It makes the cookies taste like brownie cookies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F768996.jpg,48,86.8,47,4.7,9.9,0.2,5.8,5.0,1.9,0.009,0.005,0.0003,0.0035,0.0265,0.0421,½ cup white sugar #½ cup packed brown sugar #½ cup shortening #½ cup butter #1 egg #1 teaspoon vanilla extract #2 cups all-purpose flour #1 teaspoon baking soda #1 teaspoon cream of tartar #½ cup chopped walnuts #⅓ cup granulated sugar for decoration 
1,Finnish Kropser (Baked Pancakes),11501,"This delicious bar is a treat that can be served for breakfast or with tea. Serve with syrup, jelly or honey. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5390826.jpg,8,227.6,113,4.6,30.4,0.5,15.5,9.0,5.0,0.08990000000000001,0.0862,0.0013,0.0134,0.1395,0.3832,3 eggs #½ cup white sugar #1 teaspoon salt #2 cups milk #1 ¼ cups all-purpose flour #¼ cup butter 
2,Donna's Spanish Bars,11502,This is very moist and delicious cookie bar that has been in my family for years. Always roll in granulated sugar and store in a container with a tight lid. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1143722.jpg,15,267.2,6,4.2,47.1,0.7,33.8,7.8,2.0,0.0255,0.053399999999999996,0.0012,0.0096,0.0942,0.1193,2 cups packed brown sugar #½ cup shortening #2 eggs #2 cups all-purpose flour #2 teaspoons ground cinnamon #1 teaspoon ground cloves #½ teaspoon ground ginger #1 teaspoon baking soda #1 cup buttermilk #1 tablespoon distilled white vinegar #⅓ cup granulated sugar for decoration 
3,Watermelon Cookies II,11503,"Sweet tasting watermelon imposters from the kitchen, not the garden. Kids love these! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F106264.jpg,30,109.8,7,3.8,14.4,0.4,6.2,5.4,2.4,0.0123,0.0166,0.0004,0.0024,0.0212,0.0839,6 tablespoons butter #⅓ cup shortening #¾ cup white sugar #1 egg #1 teaspoon vanilla extract #1 tablespoon orange juice #2 cups all-purpose flour #1 ½ teaspoons baking powder #½ teaspoon salt #6 drops red food coloring #⅓ cup semi-sweet chocolate chips #1 egg white #1 tablespoon water #¼ cup green decorator sugar 
4,Chewy Peanut Butter Brownies,11504,"These brownies have been a favorite in my family since I was a small child. Because they're so popular, I usually double the recipe. Great with chocolate frosting! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F52429870983b72690f1b834efdcca294%2F1651238202E4CF6EC2-C380-483D-B02C-F6E9C80C551F.jpeg,16,177.1,814,4.5,22.8,0.7,15.9,8.5,1.7,0.0233,0.032100000000000004,0.0007,0.0157,0.08059999999999999,0.1585,"½ cup peanut butter #⅓ cup margarine, softened #⅔ cup white sugar #½ cup packed brown sugar #2 egg #½ teaspoon vanilla extract #1 cup all-purpose flour #1 teaspoon baking powder #¼ teaspoon salt "
5,Macadamia Coconut Icebox Cookies,11505,A great refrigerator cookie with a tropical twist. This dough freezes well and only takes a few minutes to thaw and then bake. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F291489.jpg,36,200.9,3,3.6,17.4,1.5,8.1,14.2,6.4,0.020300000000000002,0.0123,0.0008,0.018699999999999998,0.0615,0.1123,"1 ½ cups butter, softened #1 ¼ cups white sugar #1 tablespoon vanilla extract #2 cups all-purpose flour #1 teaspoon baking soda #¼ teaspoon salt #2 cups rolled oats #2 cups chopped macadamia nuts #1 cup flaked coconut "
6,Banana Date Bars,11506,"A scrumptious blend of banana, dates, almonds, lemon, and vanilla will tantalize your tastebuds and it's also very nutritious. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F441248.jpg,24,213.3,31,4.3,36.0,1.3,25.5,7.3,3.9,0.0308,0.025,0.0008,0.0145,0.1202,0.117,"½ cup butter #1 ½ cups white sugar #2 egg #1 teaspoon vanilla extract #2 cups sliced bananas #2 cups all-purpose flour #1 teaspoon baking powder #¼ teaspoon baking soda #¼ teaspoon salt #1 cup dates, pitted and chopped #½ cup chopped almonds #¼ cup butter, softened #⅛ teaspoon salt #2 tablespoons lemon juice #½ teaspoon vanilla extract #1 ½ cups confectioners' sugar "
7,Christmas Stars,11507,A festive sandwich style cookie. Excellent for Christmas or New years' celebrations. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7814720.jpg,24,157.7,84,4.5,23.7,0.4,11.4,6.3,3.8,0.0308,0.0173,0.0007,0.0036,0.0217,0.0915,"¾ cup butter, softened #1 cup white sugar #2 egg #1 teaspoon vanilla extract #2 ½ cups all-purpose flour #1 teaspoon baking powder #¼ teaspoon salt #6 tablespoons strawberry jam #¼ cup green decorator sugar (Optional)"
8,Frosted Orange Chippers,11508,This retro recipe is always in style! I got this in the 70's but it is still delicious and a bit different. A classic chocolate chip cookie with an orange twist. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F175173.jpg,30,198.1,6,3.8,24.9,0.6,17.8,10.8,6.6,0.0359,0.0101,0.0007,0.009300000000000001,0.0433,0.1653,"1 cup butter, softened #3 ounces cream cheese, softened #1 cup white sugar #1 teaspoon vanilla extract #1 tablespoon orange zest #2 egg #2 cups all-purpose flour #1 teaspoon salt #6 ounces semisweet chocolate chips #2 cups confectioners' sugar #4 tablespoons butter, softened #2 ½ tablespoons orange juice #¼ teaspoon orange zest #2 drops orange food coloring #¼ teaspoon salt "
9,Favorite Black Walnut Cookies,11509,"An easy cookie to make, with the distinctive flavor of black walnuts. It is especially good with a nice cup of tea, or coffee. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3475784.jpg,24,229.9,30,4.5,29.8,0.8,17.4,11.3,5.2,0.0358,0.0178,0.001,0.0154,0.06420000000000001,0.1864,"1 cup butter, softened #1 cup white sugar #1 cup packed brown sugar #2 egg #3 cups all-purpose flour #½ teaspoon baking soda #1 teaspoon salt #1 cup chopped black walnuts "
10,Lemon Yummies,11510,"Incredibly delicious, soft, lemony cookies. The perfect cookie for a tea party. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8244022.jpg,30,108.9,18,3.5,19.1,0.3,10.6,2.9,0.5,0.0126,0.019100000000000002,0.0006,0.0035,0.0251,0.1221,1 ½ cups white sugar #½ cup low-fat lemon yogurt #⅓ cup vegetable oil #2 egg #1 teaspoon lemon zest #1 teaspoon fresh lemon juice #2 ⅔ cups all-purpose flour #½ teaspoon baking soda #1 teaspoon baking powder #1 teaspoon salt 
