,name,id,calories,sugars,fat,saturated fat,sodium
0,Home Made Souse,31900,599,1.5,40.9,17.0,1.3374000000000001
1,Zippy Beef Casserole,31932,645,18.7,31.8,12.5,1.8087
2,Green Bean Okazu,31963,444,14.3,30.3,12.3,0.9859
3,Rita's Spinach Casserole,31965,373,4.1,20.8,10.5,0.5836
4,Wild Goose Breasts with Orange Glaze,31971,346,5.2,22.8,7.1,0.29810000000000003
5,Peking Duck,31972,556,42.0,31.0,10.6,0.7477999999999999
6,Cornbread Sausage Casserole,31984,613,9.1,37.4,16.0,1.6391
7,Cajun Skillet Surprise,31988,215,1.7,10.8,3.8,0.932
8,Orange Curry Chicken,31995,372,1.2,14.5,2.6,0.10990000000000001
