,name,id,calories,fat,saturated fat,sodium,sugars
0,Black-Eyed Pea Caviar,37010,38,1.8,0.3,0.089,0.3
1,Black-Eyed Pea Cakes,37011,93,4.6,2.0,0.2843,1.2
2,Watermelon Daiquiri,37012,133,0.2,0.0,0.0025,12.5
3,Southern Living magazine's Breakfast Casserole,37013,502,39.9,17.5,1.0172999999999999,4.0
4,Cherry Cider,37014,172,0.0,0.0,0.07529999999999999,37.7
5,Toasted Spinach Ravioli,37015,336,31.9,4.4,0.2047,0.7
6,Oatmeal Dinner Rolls,37016,88,1.4,0.7,0.1008,2.7
7,Southern Living magazine's Cinnamon Rolls,37017,82,2.9,1.0,0.0876,6.1
8,Director's Dip,37018,105,9.6,3.5,0.1392,0.4
9,Grand Oranges,37019,420,0.6,0.1,0.0357,86.0
10,Colorful Coleslaw with a Kick,37020,176,14.3,2.1,0.19469999999999998,6.3
11,Lobster Cocktail With Continental Sauce,37021,546,25.1,3.9,2.1783,4.0
12,Onion and Cheddar Burgers,37022,534,29.3,12.5,1.0477,9.4
13,Maple Coffee,37023,243,9.4,5.8,0.0402,31.4
14,Dynamite Bourbon Ribs,37026,659,26.9,9.5,1.5703,36.3
15,Berry Almond Bars,37039,324,16.1,10.3,0.1894,11.2
16,Great Tater Rounds,37049,479,22.3,2.9,0.0221,2.9
17,Mango Papaya Salsa,37067,77,3.9,0.6,0.0053,6.8
18,Matzo Balls,37068,127,6.1,1.2,0.2412,0.4
19,Butt Stompin' Barbeque Sauce,37075,27,0.6,0.3,0.0907,2.8
20,Grilled Scallops,37076,318,23.9,14.7,0.349,1.2
21,Yogurt Parfait,37095,515,17.8,4.5,0.1771,46.9
22,Peach Brulee,37097,200,7.2,0.6,0.0108,32.6
