,name,id,calories,sugars,fat,saturated fat,sodium
0,Pineapple Pizzas,26907,541,14.8,28.0,12.3,1.5175999999999998
1,Prosciutto Parmesan and Pine Nut Bruschetta,26914,497,2.4,28.5,13.8,0.9491
2,Pub Pizza,26915,845,11.8,55.7,29.2,2.5416
3,Quebec Pickled Eggs,26916,76,0.4,5.0,1.6,0.4603
4,Quick Salsa Dip,26917,46,0.4,4.1,2.6,0.11320000000000001
5,Raisined Relish,26918,46,8.6,0.1,0.0,0.004
6,Real Hummus,26921,54,0.1,2.5,0.3,0.1988
7,Renaissance Stuffed Mushrooms,26922,122,0.5,10.7,6.1,0.13369999999999999
8,Restaurant Style Chicken Nachos,26924,407,2.4,25.7,8.1,0.6696
9,Reuben Rollups,26925,785,9.2,36.7,11.7,1.6545999999999998
10,Roasted Chicken Salad Bites,26926,537,5.7,38.6,11.3,0.6728
11,Roquefort Grapes,26928,292,7.5,24.3,8.7,0.31389999999999996
12,Salsa Costena,26932,23,2.2,0.5,0.1,0.1515
13,Sarah's Salsa,26942,9,0.8,0.0,0.0,0.095
14,Sausage Flowers,26945,143,0.6,10.5,4.9,0.2847
15,Seared Veggie Rollups,26949,408,6.0,23.1,4.7,0.6858
16,Shrimp and Dill Deviled Eggs,26952,83,0.3,6.3,1.4,0.1029
17,Shrimp Delight,26954,69,1.0,5.1,3.1,0.1575
18,Shrimp Dip,26955,91,0.7,6.9,4.1,0.1411
19,Shrimp Tempura,26962,573,0.3,48.3,6.7,0.42460000000000003
20,Spicy Crab and Shrimp Dip,26968,101,1.8,7.3,3.6,0.3438
21,Spicy Pineapple Sauce,26969,28,1.6,0.0,0.0,0.0005
22,Spinach Brownies,26972,92,0.9,6.0,3.6,0.2164
23,Steph's Summer Salsa,26973,14,0.7,0.4,0.1,0.0022
24,Stuffed Jalapenos III,26975,186,1.3,18.0,7.3,0.31339999999999996
25,Big Game Salsa Dip,26977,83,1.4,5.6,2.5,0.2516
26,Sweet and Savory Cheese Ball,26978,187,3.5,16.6,5.9,0.2465
27,Sweet Party Mix,26980,267,18.1,13.9,4.3,0.1766
28,Tasty Spinach Treats,26989,308,3.6,22.7,6.3,0.5976
29,Tex Mex Dip,26993,390,3.3,29.8,16.3,0.9246
30,Texas Crabgrass,26995,79,0.4,5.9,3.6,0.1616
