recipe_A_id,recipe_A_name,recipe_A_picture,recipe_A_ingredients,recipe_B_id,recipe_B_name,recipe_B_picture,recipe_B_ingredients,correct_answer
14929,Corn Beef Ball,pictures/recipes_14900_14999/recipe_14929.png,"1 (8 ounce) package cream cheese, softened #2 cups shredded Cheddar cheese #1 (12 ounce) can corned beef #2 teaspoons prepared horseradish #1 ½ teaspoons prepared mustard #1 ½ teaspoons Worcestershire sauce #3 tablespoons lemon juice #¾ cup sweet pickle relish ",14910,Beef and Cheese Ball,pictures/recipes_14900_14999/recipe_14910.png,"1 (8 ounce) package cream cheese, softened #5 ounces dried beef #1 small white onion, chopped #1 small finely chopped green bell pepper #1 tablespoon Worcestershire sauce #1 teaspoon onion juice ",1
14013,Vegan Casserole,pictures/recipes_14000_14099/recipe_14013.png,"5 russet potatoes, peeled #1 clove crushed garlic #1 stalk celery, chopped #1 bunch fresh parsley, chopped #8 whole black peppercorns #1 onion, chopped #1 bay leaf #1 tablespoon light miso paste #1 tablespoon olive oil #1 tablespoon olive oil #¾ cup diced red onion #1 clove garlic, minced #½ pound fresh mushrooms, sliced #1 pound firm tofu, crumbled #4 tablespoons hickory flavored barbecue sauce #1 tablespoon nutritional yeast (Optional)#1 tablespoon vegetarian chicken flavored gravy mix #1 teaspoon paprika #1 tablespoon tamari #1 cup fresh corn kernels #1 cup chopped spinach #2 tablespoons olive oil #⅛ cup whole wheat pastry flour #2 teaspoons nutritional yeast (Optional)#1 tablespoon vegetarian chicken flavored gravy mix #1 cube vegetable bouillon ",14970,Vegan Butternut Squash Casserole,pictures/recipes_14900_14999/recipe_14970.png,"3 cups mashed, cooked butternut squash #½ cup white sugar #½ cup packed brown sugar #¼ cup margarine, melted #1 (8 ounce) can crushed pineapple with juice #1 teaspoon ground cinnamon #1 teaspoon vanilla extract #⅛ teaspoon ground nutmeg #⅓ cup chopped walnuts ",1
17928,Snow on the Mountain,pictures/recipes_17900_17999/recipe_17928.png,"1 cup dates, pitted and chopped #1 cup chopped walnuts #½ cup all-purpose flour #1 cup white sugar #4 eggs #1 teaspoon baking powder #¼ teaspoon salt #2 teaspoons vanilla extract #5 oranges, peeled and cut into 5 or 6 pieces #3 bananas, cut into 1 inch pieces #¼ cup white sugar #1 pint heavy whipping cream #¼ cup confectioners' sugar #1 teaspoon vanilla extract ",23110,Snow on the Mountain II,pictures/recipes_23100_23199/recipe_23110.png,"2 cups uncooked long-grain rice #2 (10.75 ounce) cans condensed cream of chicken soup #3 cups chicken broth #2 (5 ounce) cans chow mein noodles #3 tomatoes, sliced #1 cup chopped celery #½ cup chopped green bell pepper #½ cup chopped green onions #1 (20 ounce) can pineapple chunks, drained #1 cup shredded Cheddar cheese #½ cup slivered almonds #½ cup shredded coconut #½ (4 ounce) jar diced pimento peppers, drained ",1
12156,Fresh Strawberry Pie I,pictures/recipes_12100_12199/recipe_12156.png,"2 (8 inch) pie shells, baked #2 ½ quarts fresh strawberries #1 cup white sugar #2 tablespoons cornstarch #1 cup boiling water #1 (3 ounce) package strawberry flavored Jell-O® ",12316,Fresh Rhubarb Pie,pictures/recipes_12300_12399/recipe_12316.png,1 ⅓ cups white sugar #6 tablespoons all-purpose flour #1 (14.1 ounce) package pastry for a double-crust 9-inch pie #4 cups chopped rhubarb #1 tablespoon butter ,2
13253,Gazpacho Andaluz,pictures/recipes_13200_13299/recipe_13253.png,"8 cups cold water #8 large tomatoes - peeled, seeded and chopped #¼ cup minced onion #1 clove garlic, minced #1 cucumber, peeled and finely chopped #1 green bell pepper, minced #1 (1 pound) loaf stale French bread, cut into 1 inch cubes #¼ cup olive oil #¼ cup wine vinegar #⅛ tablespoon salt ",13110,Gazpacho I,pictures/recipes_13100_13199/recipe_13110.png,"1 ¾ pounds ripe tomatoes #1 large cucumber, chopped #1 green bell pepper, chopped #2 cloves crushed garlic #1 tablespoon finely chopped black olives #⅓ cup white wine vinegar #¼ cup olive oil #1 tablespoon tomato paste #2 ½ cups water #1 small onion, chopped #1 green bell peppers, diced #2 green onions, thinly sliced #1 large cucumber, chopped #2 hard-cooked eggs, chopped ",2
12193,Velvety Walnut Fudge Pie,pictures/recipes_12100_12199/recipe_12193.png,1 (3.5 ounce) package non-instant chocolate fudge pudding mix #¾ cup light corn syrup #1 egg #1 cup chopped walnuts #¾ cup evaporated milk #½ cup semisweet chocolate chips #1 recipe pastry for a 9 inch single crust pie ,12350,Fudge Pie,pictures/recipes_12300_12399/recipe_12350.png,1 recipe pastry for a 9 inch single crust pie #1 cup white sugar #¼ cup all-purpose flour #3 tablespoons unsweetened cocoa powder #½ cup butter #2 eggs #1 teaspoon vanilla extract ,1
11902,Bella's Mac and Cheese,pictures/recipes_11900_11999/recipe_11902.png,1 (16 ounce) package macaroni #1 cup American cheese #1 (8 ounce) package extra sharp Cheddar cheese #½ cup butter ,11750,Mac and Cheese I,pictures/recipes_11700_11799/recipe_11750.png,"2 cups macaroni #½ cup nonfat cottage cheese #1 egg white #½ packet artificial sweetener #¼ cup reduced fat processed cheese food, cubed #¼ cup lowfat buttermilk #¼ teaspoon liquid smoke flavoring #½ cup crushed saltine crackers ",1
18450,Slow Cooker Vegetable Chili,pictures/recipes_18400_18499/recipe_18450.png,"1 (28 ounce) can whole peeled tomatoes with juice #1 (15 ounce) can garbanzo beans, drained #2 zucchini, thinly sliced #1 onion, chopped #2 carrots, sliced #2 stalks celery, sliced #1 red bell pepper, chopped #1 green bell pepper, chopped #⅓ cup chili powder #1 (4 ounce) can chopped green chile peppers #2 cloves garlic, minced #1 tablespoon dried oregano #2 teaspoons ground cumin #1 teaspoon salt ",16933,Slow Cooker Chili,pictures/recipes_16900_16999/recipe_16933.png,"1 pound ground beef #1 onion, chopped #2 green bell peppers, chopped #5 (15 ounce) cans kidney beans with liquid #1 (28 ounce) can whole peeled tomatoes, with liquid #¼ teaspoon chili powder ",2
15697,No Sugar Apple Pie,pictures/recipes_15600_15699/recipe_15697.png,"2 (9 inch) pie shell #3 tablespoons cornstarch #1 tablespoon ground cinnamon #1 (12 fluid ounce) can unsweetened apple juice concentrate, thawed #6 cups sliced green apples ",12247,October Apple Pie,pictures/recipes_12200_12299/recipe_12247.png,"1 recipe pastry for a 9 inch double crust pie #6 cups thinly sliced apples #1 lemon, juiced #½ cup packed light brown sugar #½ cup white sugar #2 teaspoons ground cinnamon #¼ teaspoon freshly grated nutmeg #3 tablespoons all-purpose flour #¼ cup butter, chilled and diced #9 caramel squares, quartered #1 tablespoon white sugar ",2
16859,Mom's Shrimp Macaroni Salad,pictures/recipes_16800_16899/recipe_16859.png,1 cup uncooked elbow macaroni #1 tablespoon finely diced onion #1 tablespoon chopped green bell pepper #½ cup diced celery #¾ cup mayonnaise #¼ cup sweet pickle relish #2 tablespoons ketchup #2 tablespoons white wine vinegar #1 teaspoon prepared horseradish #¼ teaspoon hot pepper sauce #1 tablespoon chopped fresh parsley #½ teaspoon celery seed #⅛ teaspoon chili powder # ground black pepper to taste #2 ounces cooked salad shrimp ,18089,Macaroni Salad,pictures/recipes_18000_18099/recipe_18089.png,"5 cups macaroni #4 tablespoons mayonnaise #1 egg #1 teaspoon distilled white vinegar #1 bunch green onions, finely chopped #3 hard-cooked eggs, diced #1 dill pickle, finely chopped ",1
